ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy,expression_groups,expression_first_class,expression_group_count,expression_first_class_count,layer_a_count,layer_b_count,layer_a_groups,layer_b_groups,matched_expression_terms,unclassified
and b whether the,3,AC15P,S3,quadgrams,b whether,2,,0,,,0,0.0,False,conditions,conditions,1,1,0,1,,conditions,whether,False
b whether the mining,3,AC15P,S3,quadgrams,b whether mining,3,,0,,mining,1,0.3333333333333333,False,conditions,conditions,1,1,0,1,,conditions,whether,False
whether you can implement,2,AC15P,S3,quadgrams,whether implement,2,practicality_and_feasibility,1,implement,,0,0.0,False,conditions|practical_considerations_and_execution,conditions|practical_considerations_and_execution.action_and_execution,2,2,1,1,practical_considerations_and_execution,conditions,implement|whether,False
sanity check whether the,2,AC15P,S3,quadgrams,sanity check whether,3,,0,,,0,0.0,False,conditions|truth,conditions|truth.verification,2,2,1,1,truth,conditions,check|sanity check|whether,False
sanity check whether it,2,CONTROL,S3,quadgrams,sanity check whether,3,,0,,,0,0.0,False,conditions|truth,conditions|truth.verification,2,2,1,1,truth,conditions,check|sanity check|whether,False
check whether it s,2,CONTROL,S3,quadgrams,check whether,2,,0,,,0,0.0,False,conditions|truth,conditions|truth.verification,2,2,1,1,truth,conditions,check|whether,False
lois msas contingent on,2,CONTROL,S3,quadgrams,lois msas contingent,3,,0,,,0,0.0,False,conditions|practical_considerations_and_execution,conditions|practical_considerations_and_execution.resources_timing_conditions,2,2,1,1,practical_considerations_and_execution,conditions,contingen|contingent|contingent on,False
msas contingent on the,2,CONTROL,S3,quadgrams,msas contingent,2,,0,,,0,0.0,False,conditions|practical_considerations_and_execution,conditions|practical_considerations_and_execution.resources_timing_conditions,2,2,1,1,practical_considerations_and_execution,conditions,contingen|contingent|contingent on,False
whether the architect would,2,HYBRID_SEMANTIC,S3,quadgrams,whether architect,2,,0,,,0,0.0,False,conditions,conditions,1,1,0,1,,conditions,whether,False
you re deciding whether,2,HYBRID_SEMANTIC,S3,quadgrams,deciding whether,2,,0,,,0,0.0,False,autonomy_sovereignty|conditions,autonomy_sovereignty|conditions,2,2,0,2,,autonomy_sovereignty|conditions,deciding|whether,False
