Scenario 5 - Trigrams,,,,,,,,,
CONTROL,,AC15,,AC15P,,HYBRID_3_5,,HYBRID_SEMANTIC,
Trigram,Count,Trigram,Count,Trigram,Count,Trigram,Count,Trigram,Count
decisions conventions constraints,11,status active superseded,9,adrs prs issues,8,fresh eyes mode,13,end of session,10
what did we,7,decisions constraints conventions,9,if you can,8,brief adrs conventions,9,decisions constraints conventions,9
did we try,7,active superseded deprecated,8,you can t,8,project brief adrs,8,if you can,7
conventions constraints system,7,this is the,8,you don t,7,adrs conventions constraints,7,you don t,7
constraints system map,7,e g days,8,prs issues runbooks,7,status active superseded,6,constraints conventions glossary,7
you can t,6,fresh eyes mode,7,fresh eyes vs,7,but don t,6,if you ship,7
status active superseded,6,if it s,7,accepted superseded deprecated,6,users can t,5,you can t,6
if you want,6,if you implement,7,issues runbooks postmortems,6,if you want,5,what did we,6
if you can,5,for high impact,6,filters repo branch,6,against current code,5,did we try,6
source of truth,5,authoritative project memory,5,if you want,6,we decided x,5,re brief tax,6
minute re brief,5,scope repo service,5,decisions verified outcomes,6,memory used panel,5,on demand evidence,6
you don t,5,repo service module,5,eyes vs continuum,6,if retrieval is,4,canonical project brief,6
if you implement,5,a first class,5,continuity is worth,6,uses only current,4,it s not,5
but only if,5,you don t,5,project brief adr,6,only current code,4,logs stack traces,5
memory that is,5,decision constraint convention,5,source of truth,6,if you can,4,if you choose,5
vector backed evidence,4,what did we,5,over durable artifacts,6,conventions constraints glossary,4,constraints security compliance,4
the minute re,4,did we try,5,save to project,5,it s not,4,logging error handling,4
resume last session,4,memory used panel,5,to project memory,5,i can suggest,4,repo sha branch,4
more likely to,4,project brief decisions,5,when memory is,5,likely to be,4,fresh eyes mode,4
loaded by default,4,created_at last_confirmed_at confidence,4,the assistant should,5,if it s,4,because it s,4
against the repo,4,high impact types,4,adr style decisions,5,more likely to,4,if it s,4
to repo artifacts,4,layer b evidence,4,artifacts adrs prs,5,recency version scoring,4,if you want,4
there s no,4,one click mark,4,and you can,5,if the assistant,4,the re brief,4
adr pr file,4,click mark outdated,4,branch artifact type,5,where it s,4,continuity is worth,4
repo verification before,4,mark outdated supersede,4,what the assistant,4,summaries structured docs,4,status active superseded,4
e g days,4,don t use,4,the assistant is,4,source of truth,4,brief only deep,4
decision convention constraint,4,constraints security compliance,4,summary vs vector,4,assert we decided,4,only deep recall,4
not as a,3,because it s,4,influenced the answer,4,exclude pin mark,4,deep recall no,4
curated project memory,3,it s the,4,should we do,4,pin mark superseded,4,recall no memory,4
this is not,3,decision convention constraint,4,you want i,4,high signal sources,4,source of truth,4
from chat on,3,unless you add,4,want i can,4,you don t,4,with citations and,4
when the user,3,fresh eyes toggle,4,i can propose,4,the fresh eyes,3,demand evidence retrieval,4
we tried x,3,current code signals,4,end of session,4,attempts speculative hypotheses,3,how it s,4
tried x and,3,ttl by default,4,brief accepted decisions,4,you can t,3,and how it,3
if the user,3,it doesn t,4,this is the,4,the assistant is,3,the fresh eyes,3
the user asks,3,you can t,4,is worth doing,4,unless you add,3,a one click,3
apply hard filters,3,pr commit doc,4,runbooks postmortems selected,4,in repo or,3,don t want,3
mark outdated supersede,3,if you want,4,postmortems selected logs,4,end of session,3,canonical project memory,3
decisions adr lite,3,decisions invariants conventions,3,because it s,4,user accepts edits,3,where it matters,3
conventions system map,3,the authoritative layer,3,why it s,4,only current repo,3,a first class,3
stack traces diffs,3,layer a authoritative,3,durable artifacts adrs,4,current repo spine,3,filtered by recency,3
time to first,3,a authoritative project,3,the project s,4,may be outdated,3,whether you can,3
to first useful,3,error handling logging,3,brief adr style,4,because it s,3,i can propose,3
first useful answer,3,confidence user approved,3,it doesn t,4,as the default,3,can propose a,3
you want i,3,user approved vs,3,project brief adrs,4,most of the,3,high value low,3
want i can,3,service module prefer,3,with hard filters,4,the ai to,3,a clean slate,3
current repo state,3,don t need,3,links pr issue,4,continuity where it,3,user asks what,3
as evidence not,3,don t do,3,needs review after,4,so it s,3,asks what did,3
fresh eyes mode,3,time to first,3,time branch filters,4,if you tell,3,devmate proposes a,3
this eliminates most,3,and can be,3,id type text,4,you tell me,3,if you implement,3
most re briefing,3,ttl e g,3,type text status,4,it tends to,3,you want a,3
wrong and sticky,3,user asks what,3,draft accepted superseded,4,time version status,3,if you tell,3
it tends to,3,asks what did,3,pr issue doc,4,pr discussions incidents,3,you tell me,3
yesterday s buggy,3,a project brief,3,if memory is,3,what did we,3,a project brief,3
t have to,3,it s not,3,memory is a,3,did we try,3,is easy to,3
as the default,3,it s wrong,3,cross session memory,3,strong recency version,3,this is the,3
it if you,3,you re not,3,off by default,3,at session start,3,into the prompt,3
repo conflict checks,3,conventions confirmed fixes,3,is allowed to,3,continuity is worth,3,and treated as,3
only for resume,3,continuity is net,3,is good when,3,is worth doing,3,load by default,3
day to day,3,end of session,3,to durable artifacts,3,the re briefing,3,confirmed root causes,3
and treated as,3,user approval for,3,current repo state,3,re briefing tax,3,default off on,3
memory is used,3,approval for high,3,at session end,3,briefing tax is,3,off on demand,3
if summaries are,3,high impact items,3,so users can,3,tax is real,3,stack traces snippets,3
it s the,3,if you ship,3,what influenced the,3,it doesn t,3,the user is,3
can t be,3,source of truth,3,an a b,3,repo service module,3,more likely to,3
timestamps commit branch,3,the ai can,3,a b c,3,can t see,3,if you share,3
memory influenced answers,3,memory is a,3,can t provide,3,don t ship,3,is worth doing,3
only as a,3,vector recall is,3,and the exact,3,in current code,3,why did it,3
don t have,3,if you can,3,most of the,3,when memory is,3,if you don,3
curated summary structured,3,what to do,3,don t want,3,compatibility checks against,3,that doesn t,3
summary structured memory,3,as the ai,3,not in the,3,happens if the,3,why it s,3
trust it over,3,it shouldn t,3,only if you,3,the assistant s,3,show what was,3
what to build,3,link to adr,3,if you tell,3,if you share,3,can be worse,3
to build first,3,to adr pr,3,you tell me,3,evidence not truth,3,a clarifying question,3
confirm to save,3,vector first memory,3,tell me your,3,don t let,3,you can make,3
only if you,3,if your memory,3,project brief accepted,3,the curated spine,3,trust it over,3
evidence index with,3,memory you can,3,verified outcomes runbook,3,the model s,3,irrelevant outdated never,3
doc scope tags,3,here s the,3,outcomes runbook items,3,allow exclude pin,3,outdated never use,3
scope tags service,3,so users can,3,memory loaded brief,3,the exact error,3,never use again,3
tags service module,3,so it s,3,toggle fresh eyes,3,time branch commit,3,on demand search,3
services modules owners,3,project memory apm,3,why this is,3,exclude pin supersede,3,pasted logs stack,3
repo branch commit,3,superseded deprecated created_at,3,if you share,3,stop re briefing,3,stack traces referenced,3
notebook summaries structured,3,deprecated created_at last_confirmed_at,3,you share your,3,current code spine,3,what it is,3
it s also,3,rbac aware retrieval,3,less likely to,3,source date link,3,with keyword search,3
notebook decisions conventions,3,manual context ux,3,constraints verified outcomes,3,users can see,3,the key is,2
optional evidence recall,3,constraint convention confirmedfix,3,can see edit,3,even if you,3,kind of information,2
how it s,3,but only if,2,whether continuity is,3,if you don,3,it should be,2
the fresh eyes,2,if memory is,2,this into a,3,reliable project memory,3,whether to do,2
fresh eyes vs,2,task fresh eyes,2,memory project brief,3,e g days,3,to do it,2
if you treat,2,senior colleague continuity,2,can t see,3,memory used ui,3,and how to,2
want the ai,2,summaries vs vectors,2,on demand only,3,brief adr conventions,3,should we do,2
the ai to,2,authoritative memory small,2,cited and time,3,repeated dead ends,2,decisions rationale adrs,2
so the right,2,the project s,2,is real and,3,do x here,2,high anchoring risk,2
memory it s,2,when needed this,2,summaries and vectors,3,fresh eyes is,2,attempts speculative debugging,2
while keeping the,2,e g decision,2,superseded deprecated needs,3,debugging attempts speculative,2,and it didn,2
the ability to,2,rationale constraints alternatives,2,deprecated needs review,3,back and forth,2,it didn t,2
when project memory,2,convention patterns error,2,mark needs review,3,build project continuum,2,fresh eyes argument,2
like a teammate,2,patterns error handling,2,it s a,3,project continuum but,2,knowledge is sticky,2
teammate who knows,2,pii can t,2,if checks fail,3,continuum but not,2,do project continuum,2
who knows the,2,can t leave,2,repo validity checks,3,not as the,2,only if you,2
not to do,2,t leave region,2,remembering wrong is,3,history opt in,2,inspect edit disable,2
the assistant to,2,service module status,2,this makes the,3,opt in on,2,why fresh eyes,2
long term memory,2,module status active,2,makes the assistant,3,in on demand,2,it s usually,2
citations whenever memory,2,last_confirmed_at confidence user,2,artifact type status,3,retrieval is opaque,2,treated as instruction,2
last updated timestamps,2,prs commits docs,2,we do continuity,3,users won t,2,dominate the prompt,2
when memory conflicts,2,assistant proposes memory,2,adr pr issue,3,by default for,2,question becomes can,2
memory conflicts with,2,or team policy,2,prs issues docs,3,for stable artifacts,2,adr merged pr,2
docs if you,2,approves edits supersedes,2,style decisions verified,3,so users can,2,docs merged code,2
can t provide,2,is the senior,2,with citations and,3,a first class,2,merged code adrs,2
and staleness handling,2,the senior colleague,2,require user confirmation,3,curated memory spine,2,code adrs tickets,2
summary vs vector,2,relevant code excerpts,2,repo branch time,3,do don t,2,can expire unless,2
of truth for,2,retrieval must be,2,and time branch,3,don t guardrails,2,expire unless reaffirmed,2
decisions constraints conventions,2,for raw chat,2,raw chat history,3,t guardrails security,2,or be marked,2
