ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy,expression_groups,expression_first_class,expression_group_count,expression_first_class_count,layer_a_count,layer_b_count,layer_a_groups,layer_b_groups,matched_expression_terms,unclassified
definition and penalty schedule,2,AC15,S3,quadgrams,definition penalty schedule,3,practicality_and_feasibility,1,schedule,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,schedule,False
runtime detection proactive mitigation,2,AC15,S3,quadgrams,runtime detection proactive mitigation,4,practicality_and_feasibility,1,mitigation,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,mitigat|mitigation,False
the rev b schedule,2,AC15,S3,quadgrams,rev b schedule,3,practicality_and_feasibility,1,schedule,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,schedule,False
mitigation is not bounded,3,AC15P,S3,quadgrams,mitigation bounded,2,practicality_and_feasibility,1,mitigation,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs|practical_considerations_and_execution.resources_timing_conditions,1,2,1,0,practical_considerations_and_execution,,bounded|mitigat|mitigation,False
lois msas contingent on,2,CONTROL,S3,quadgrams,lois msas contingent,3,,0,,,0,0.0,False,conditions|practical_considerations_and_execution,conditions|practical_considerations_and_execution.resources_timing_conditions,2,2,1,1,practical_considerations_and_execution,conditions,contingen|contingent|contingent on,False
msas contingent on the,2,CONTROL,S3,quadgrams,msas contingent,2,,0,,,0,0.0,False,conditions|practical_considerations_and_execution,conditions|practical_considerations_and_execution.resources_timing_conditions,2,2,1,1,practical_considerations_and_execution,conditions,contingen|contingent|contingent on,False
your current fallback is,2,HYBRID_3_5,S3,quadgrams,current fallback,2,practicality_and_feasibility,1,fallback,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,fallback,False
triggering conditions with margin,2,HYBRID_3_5,S3,quadgrams,triggering conditions margin,3,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,margin,False
the hardware fix schedule,2,HYBRID_SEMANTIC,S3,quadgrams,hardware fix schedule,3,practicality_and_feasibility,1,schedule,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.friction_and_blockers|practical_considerations_and_execution.resources_timing_conditions,1,2,1,0,practical_considerations_and_execution,,schedule|the hard,False
timeline retrofit policy for,2,HYBRID_SEMANTIC,S3,quadgrams,timeline retrofit policy,3,practicality_and_feasibility,1,timeline,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,timeline,False
