ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy,expression_groups,expression_first_class,expression_group_count,expression_first_class_count,layer_a_count,layer_b_count,layer_a_groups,layer_b_groups,matched_expression_terms,unclassified
keep an exit fund,7,AC15,S7,quadgrams,keep exit fund,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
an exit fund don,5,AC15,S7,quadgrams,exit fund,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
exit fund don t,5,AC15,S7,quadgrams,exit fund,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
week ordinary life stay,5,AC15,S7,quadgrams,week ordinary life stay,4,,0,,,0,0.0,False,,,0,0,0,0,,,,True
an exit fund and,5,AC15,S7,quadgrams,exit fund,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
a long term partner,3,AC15,S7,quadgrams,long term partner,3,temporal_dynamics,1,long term,partner,1,0.3333333333333333,False,temporal_projection,temporal_projection.time_horizons,1,1,1,0,temporal_projection,,long term,False
don t merge finances,3,AC15,S7,quadgrams,merge finances,2,,0,,,0,0.0,False,smoothing,smoothing,1,1,0,1,,smoothing,merge,False
family expect from a,3,AC15,S7,quadgrams,family expect,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
get independent legal advice,3,AC15,S7,quadgrams,get independent legal advice,4,,0,,,0,0.0,False,,,0,0,0,0,,,,True
and your citizenship i,3,AC15,S7,quadgrams,citizenship i,2,,0,,citizenship,1,0.5,False,,,0,0,0,0,,,,True
your citizenship i can,3,AC15,S7,quadgrams,citizenship i,2,,0,,citizenship,1,0.5,False,,,0,0,0,0,,,,True
an week ordinary life,3,AC15,S7,quadgrams,week ordinary life,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
maintain an exit fund,3,AC15,S7,quadgrams,maintain exit fund,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
exit fund and a,3,AC15,S7,quadgrams,exit fund,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
weekly activity without her,3,AC15,S7,quadgrams,weekly activity without her,4,,0,,,0,0.0,False,,,0,0,0,0,,,,True
propose the staged plan,2,AC15,S7,quadgrams,propose staged plan,3,,0,,,0,0.0,False,practical_considerations_and_execution|temporal_projection,practical_considerations_and_execution.action_and_execution|temporal_projection.change_and_rate,2,2,2,0,practical_considerations_and_execution|temporal_projection,,plan|staged,False
plan so neither of,2,AC15,S7,quadgrams,plan neither,2,,0,,,0,0.0,False,imagination_and_possibility|practical_considerations_and_execution,imagination_and_possibility.tension_as_fuel|practical_considerations_and_execution.action_and_execution,2,2,2,0,imagination_and_possibility|practical_considerations_and_execution,,neither|plan,False
the danger isn t,2,AC15,S7,quadgrams,danger isn,2,,0,,,0,0.0,False,surfacing|warning,surfacing.confrontation|warning,2,2,0,2,,surfacing|warning,danger|isn t|the danger is,False
