Scenario 1 - Quadgrams,,,,,,,,,
CONTROL,,AC15,,AC15P,,HYBRID_3_5,,HYBRID_SEMANTIC,
Quadgram,Count,Quadgram,Count,Quadgram,Count,Quadgram,Count,Quadgram,Count
year maintenance support price,10,civitas modular as the,10,data ownership full export,7,essential infrastructure cloud approval,13,year maintenance support price,12
maintenance support price lock,10,maintenance support price lock,9,required on prem failover,7,year maintenance support price,9,maintenance support price lock,12
dot waiver week review,7,central down comms down,9,on prem failover 180k,7,maintenance support price lock,9,the month support cliff,11
controller lead time risk,6,year maintenance support price,8,why it may be,7,civitas with the modular,8,what to ask verify,9
council s lock in,6,essential infrastructure cloud approval,7,it may be underestimated,7,if you tell me,8,proprietary controller lead times,8
if you want i,6,if you tell me,7,year maintenance support price,6,the modular architecture option,7,civitas modular as the,7
you want i can,6,s lock in concern,6,maintenance support price lock,6,only if you can,6,essential infrastructure cloud review,6
if you tell me,6,the modular architecture option,6,requires a dot waiver,6,with the modular architecture,5,transition assistance priced now,6
proprietary controller lead time,6,what would make us,6,transition assistance clause pre,5,price lock and early,5,essential infrastructure cloud approval,6
essential infrastructure cloud exception,6,would make us wrong,6,assistance clause pre priced,5,early evidence of lower,5,on prem failover 180k,6
dot threshold automatically and,6,chair s lock in,5,clause pre priced support,5,evidence of lower maintenance,5,before the month support,5
how it could bite,6,civitas with the modular,5,the modular architecture option,5,the modular open controller,5,the modular architecture option,5
what to verify now,6,modular as the primary,5,council s lock in,5,i can suggest the,5,the budget chair s,5
the modular architecture option,5,required on prem failover,5,chair s lock in,5,month end of support,5,logs and performance data,5
change of control protections,5,the mayor s office,5,s lock in concern,5,you tell me whether,5,data in documented formats,5
industry standard controllers and,5,on prem failover 180k,5,week proprietary controller lead,5,civitas modular as the,5,adds 180k and weeks,5
on prem failover 180k,5,prem failover 180k weeks,5,proprietary controller lead time,5,incident response capabilities as,5,why it s clearly,5
uses industry standard controllers,4,proprietary controller lead times,4,civitas modular as the,5,a year maintenance support,4,it s clearly wrong,5
readily available standard controllers,4,proprietary controller lead time,4,prem failover 180k weeks,5,essential infrastructure cloud hosting,4,only if cloud approval,4
offers a year maintenance,4,with the modular architecture,4,it required on prem,5,lock and early evidence,4,with the modular architecture,4
year maintenance price lock,4,this is the most,4,ownership full export of,4,and early evidence of,4,no proprietary substitution without,4
with the modular architecture,4,essential infrastructure cloud review,4,a year maintenance support,4,written essential infrastructure cloud,4,offers a year maintenance,4
s lock in concern,4,if you answer those,4,with the modular architecture,4,isn t hostage priced,4,a year maintenance support,4
to reduce lock in,4,you answer those i,4,proprietary controller lead times,4,i can help you,4,council s lock in,4
civitas systems modular architecture,4,answer those i can,4,but the modular option,4,s lock in concern,4,s lock in concern,4
systems modular architecture option,4,the budget chair s,4,controller models lead times,4,a dot waiver review,4,highway integration is day,4
the week proprietary controller,4,civitas integrated proprietary controller,4,central down comms down,4,modular open controller option,4,integration is day one,4
week proprietary controller lead,4,if you want i,4,with on prem failover,4,on prem failover 180k,4,only if you can,4
the essential infrastructure cloud,4,you want i can,4,a minor year one,4,modular architecture option industry,4,and performance data in,4
civitas modular as the,4,with long lead items,4,essential infrastructure hosting acceptability,3,architecture option industry standard,4,which novagrid says adds,4
emergency services isn t,4,data config portability transition,4,infrastructure hosting acceptability novagrid,3,option industry standard controllers,4,novagrid says adds 180k,4
long term o m,4,recommend civitas modular as,4,critical path civitas integrated,3,support price lock and,4,180k and weeks to,4
o m cost predictability,4,the on prem failover,4,exact controller models and,3,the essential infrastructure cloud,3,required on prem failover,4
state dot waiver week,4,it required on prem,4,offers a year maintenance,3,this is the most,3,on the critical path,4
civitas meets dot threshold,4,to the budget chair,4,cloud fees subject to,3,for essential infrastructure cloud,3,performance data in documented,4
meets dot threshold automatically,4,the council chair s,3,subject to annual adjustment,3,whether highway integration is,3,if you want i,4
the budget chair s,4,why this is the,3,change of control protections,3,a short list of,3,you want i can,4
the controller lead time,4,lock in standard controllers,3,civitas with the modular,3,so exit isn t,3,priced transition assistance incident,4
it could bite you,4,supply chain schedule risk,3,to address lock in,3,exit isn t hostage,3,it essential infrastructure cloud,3
state dot preference for,3,models lead times and,3,standard controllers is a,3,if you want paste,3,modular industry standard controllers,3
recurring cloud fee with,3,reference calls focused on,3,cloud hosting for essential,3,you want paste your,3,industry standard controllers is,3
cloud fee with annual,3,timeline and required controls,3,hosting for essential infrastructure,3,if you want i,3,uses industry standard controllers,3
fee with annual adjustment,3,change of control protections,3,the council s lock,3,you want i can,3,and outage degraded mode,3
a year maintenance support,3,cloud essential infrastructure review,3,why this is the,3,industry standard controllers and,3,novagrid becomes a schedule,3
early evidence of lower,3,highway integration is in,3,novagrid s required cloud,3,in a way that,3,change of control protections,3
evidence of lower maintenance,3,the essential infrastructure cloud,3,a week award window,3,the option that best,3,if cloud approval and,3
modular architecture option and,3,recommend civitas with the,3,civitas year maintenance price,3,what s included excluded,3,protections are secured by,3
to compete future components,3,budget chair s lock,3,year maintenance price lock,3,within your week window,3,are secured by a,3
milestone based payments tied,3,keep novagrid as a,3,essential infrastructure cloud approval,3,novagrid s incident capability,3,to the budget chair,3
based payments tied to,3,city ownership of timing,3,timing plans controller configs,3,council s lock in,3,controller lead times weeks,3
define what s included,3,configs logs performance data,3,by cloud approval and,3,standard controllers is a,3,case by case review,3
council lock in concerns,3,performance data in documented,3,if you tell me,3,chair s lock in,3,if you don t,3
civitas modular is the,3,data in documented formats,3,civitas modular with explicit,3,requires a dot waiver,3,if you tell me,3
civitas offers a year,3,i can translate this,3,what this implies for,3,can suggest the cleanest,3,cloud hosting for essential,3
using industry standard controllers,3,translate this into a,3,run a time boxed,3,predictable long term operating,3,hosting for essential infrastructure,3
uses readily available standard,3,long lead items and,3,time to activate incident,3,long term operating costs,3,is day one scope,3
long term cost predictability,3,data config portability and,3,if you want i,3,with the modular open,3,export of configs timing,3
with your staff and,3,in a tight budget,3,you want i can,3,pre priced transition assistance,3,of configs timing plans,3
industry standard controllers is,3,for after action review,3,proprietary hardware lock in,3,prem failover 180k weeks,3,configs timing plans logs,3
the most defensible recommendation,3,who changed what when,3,treat civitas modular as,3,anti lock in contract,3,timing plans logs and,3
want i can turn,3,should be treated as,3,civitas modular as a,3,dot waiver review weeks,3,plans logs and performance,3
i can turn this,3,so it doesn t,3,reduces hardware lock in,3,it required on prem,3,what s included vs,3
can turn this into,3,you tell me what,3,if you choose civitas,3,required on prem failover,3,week proprietary controller lead,3
turn this into a,3,i can suggest a,3,modular as the primary,3,goes wrong in year,3,whether highway integration is,3
this into a one,3,config portability transition assistance,3,dot waiver week review,3,wrong in year one,3,you can credibly say,3
into a one page,3,tied to payment milestones,3,on prem failover that,3,why this is the,3,long term operating costs,3
o m volatility and,3,a year maintenance support,3,pre priced support if,3,data ownership export timing,3,on cloud fee increases,3
recommendation unless novagrid can,3,timing plans configs logs,3,the modular standard controller,3,ownership export timing plans,3,so you don t,3
essential infrastructure cloud approval,3,lock in and supply,3,can t delay start,3,incident operations package evp,3,but only if you,3
so emergency services isn,3,in and supply chain,3,only with on prem,3,operations package evp priority,3,long term operating cost,3
annual cloud fee increases,3,a week dot waiver,3,likely narrative if there,3,export timing plans config,3,detours overrides priority workflows,3
i can help you,3,if they can t,3,narrative if there s,3,timing plans config logs,3,this is how you,3
civitas year maintenance support,3,you have a clean,3,if there s a,3,support ends in months,2,proprietary controller lead time,3
support price lock and,3,on prem failover environment,3,there s a minor,3,what you re buying,2,dot waiver week review,3
price lock and early,3,the mayor s prior,3,s a minor year,3,civitas modular architecture option,2,says adds 180k and,3
avoids the week proprietary,3,civitas clears dot s,3,minor year one failure,3,uses industry standard controllers,2,novagrid requires a waiver,3
controller lead time that,3,automatically novagrid requires a,3,year one failure council,3,reduces lock in and,2,a waiver with a,3
with the dot waiver,3,to the mayor s,3,one failure council budget,3,lock in and supply,2,waiver with a week,3
with on prem failover,3,the budget chair we,3,failure council budget chair,3,in and supply chain,2,with a week review,3
standard controllers named models,3,it s not acceptable,3,why it would be,3,civitas modular is the,2,requires on prem failover,3
budget chair s lock,3,in a tightening budget,3,it would be judged,3,signals are essential infrastructure,2,prem failover 180k and,3
chair s lock in,3,i can tell you,3,would be judged that,3,case by case review,2,failover 180k and weeks,3
waiver week review and,3,exhibit with long lead,3,be judged that way,3,if and only if,2,acceptance tests and training,3
on on prem failover,3,council s lock in,3,what reduces the damage,3,infrastructure cloud approval path,2,budget chair s lock,3
prem failover 180k weeks,3,on prem failover add,3,proprietary integrated controller system,3,path civitas with the,2,chair s lock in,3
if they can t,3,you d be choosing,3,novagrid now requires a,3,option this is the,2,named industry standard controller,3
lead time that could,3,controller lead times and,2,now requires a dot,3,answer to council s,2,industry standard controller models,3
time that could push,3,before the month support,2,the budget chair s,3,avoids the most uncertain,2,standard controller models standards,3
and the modular option,3,what you re buying,2,we are not choosing,3,gate essential infrastructure cloud,2,prem failover 180k weeks,3
a minor year one,3,controller lead time weeks,2,full export of configs,3,essential infrastructure cloud exception,2,how a minor failure,3
likely narrative if something,3,slower feature update responsiveness,2,cloud hosted central management,2,conditional alternative only if,2,a minor failure gets,3
