ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy,expression_groups,expression_first_class,expression_group_count,expression_first_class_count,layer_a_count,layer_b_count,layer_a_groups,layer_b_groups,matched_expression_terms,unclassified
an exit fund,11,AC15,S7,trigrams,exit fund,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
keep an exit,8,AC15,S7,trigrams,keep exit,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
ordinary life stay,7,AC15,S7,trigrams,ordinary life stay,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
week ordinary life,6,AC15,S7,trigrams,week ordinary life,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
partner not nurse,6,AC15,S7,trigrams,partner nurse,2,,0,,partner,1,0.5,False,,,0,0,0,0,,,,True
exit fund don,5,AC15,S7,trigrams,exit fund,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
exit fund and,5,AC15,S7,trigrams,exit fund,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
ordinary life trial,4,AC15,S7,trigrams,ordinary life trial,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
what i m,4,AC15,S7,trigrams,i m,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
activity without her,4,AC15,S7,trigrams,activity without her,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
about the future,3,AC15,S7,trigrams,about future,2,temporal_dynamics,1,future,,0,0.0,False,temporal_projection,temporal_projection.past_present_future,1,1,1,0,temporal_projection,,future,False
a true pilot,3,AC15,S7,trigrams,true pilot,2,imagination_and_possibility,1,pilot,,0,0.0,False,imagination_and_possibility,imagination_and_possibility.path_toward_feasibility,1,1,1,0,imagination_and_possibility,,pilot,False
t merge finances,3,AC15,S7,trigrams,merge finances,2,,0,,,0,0.0,False,smoothing,smoothing,1,1,0,1,,smoothing,merge,False
no merged accounts,3,AC15,S7,trigrams,no merged accounts,3,,0,,,0,0.0,False,smoothing,smoothing,1,1,0,1,,smoothing,merged,False
no merged finances,3,AC15,S7,trigrams,no merged finances,3,,0,,,0,0.0,False,smoothing,smoothing,1,1,0,1,,smoothing,merged,False
complex care plan,3,AC15,S7,trigrams,complex care plan,3,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution,1,1,1,0,practical_considerations_and_execution,,plan,False
marriage kids aging,3,AC15,S7,trigrams,marriage kids aging,3,,0,,marriage|aging,2,0.6666666666666666,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,aging,False
family expect from,3,AC15,S7,trigrams,family expect,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
longer ordinary life,3,AC15,S7,trigrams,longer ordinary life,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
normal hours handle,3,AC15,S7,trigrams,normal hours handle,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
get independent legal,3,AC15,S7,trigrams,get independent legal,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
independent legal advice,3,AC15,S7,trigrams,independent legal advice,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
marriage kids family,3,AC15,S7,trigrams,marriage kids family,3,,0,,marriage,1,0.3333333333333333,False,,,0,0,0,0,,,,True
your citizenship i,3,AC15,S7,trigrams,citizenship i,2,,0,,citizenship,1,0.5,False,,,0,0,0,0,,,,True
citizenship i can,3,AC15,S7,trigrams,citizenship i,2,,0,,citizenship,1,0.5,False,,,0,0,0,0,,,,True
your own cognitive,3,AC15,S7,trigrams,own cognitive,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
an week ordinary,3,AC15,S7,trigrams,week ordinary,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
maintain an exit,3,AC15,S7,trigrams,maintain exit,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
two home model,3,AC15,S7,trigrams,two home model,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
a longer stay,3,AC15,S7,trigrams,longer stay,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
weekly activity without,3,AC15,S7,trigrams,weekly activity without,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
whether her future,2,AC15,S7,trigrams,whether her future,3,temporal_dynamics,1,future,,0,0.0,False,conditions|temporal_projection,conditions|temporal_projection.past_present_future,2,2,1,1,temporal_projection,conditions,future|whether,False
pilot plan with,2,AC15,S7,trigrams,pilot plan,2,imagination_and_possibility,1,pilot,,0,0.0,False,imagination_and_possibility|practical_considerations_and_execution,imagination_and_possibility.path_toward_feasibility|practical_considerations_and_execution.action_and_execution,2,2,2,0,imagination_and_possibility|practical_considerations_and_execution,,pilot|plan,False
the staged plan,2,AC15,S7,trigrams,staged plan,2,,0,,,0,0.0,False,practical_considerations_and_execution|temporal_projection,practical_considerations_and_execution.action_and_execution|temporal_projection.change_and_rate,2,2,2,0,practical_considerations_and_execution|temporal_projection,,plan|staged,False
plan so neither,2,AC15,S7,trigrams,plan neither,2,,0,,,0,0.0,False,imagination_and_possibility|practical_considerations_and_execution,imagination_and_possibility.tension_as_fuel|practical_considerations_and_execution.action_and_execution,2,2,2,0,imagination_and_possibility|practical_considerations_and_execution,,neither|plan,False
the danger isn,2,AC15,S7,trigrams,danger isn,2,,0,,,0,0.0,False,surfacing|warning,surfacing.confrontation|warning,2,2,0,2,,surfacing|warning,danger|the danger is,False
danger isn t,2,AC15,S7,trigrams,danger isn,2,,0,,,0,0.0,False,surfacing|warning,surfacing.confrontation|warning,2,2,0,2,,surfacing|warning,danger|isn t,False
time based evidence,2,AC15,S7,trigrams,time based evidence,3,truth_and_fact,1,evidence,,0,0.0,False,truth,truth.verification,1,1,1,0,truth,,evidence,False
honest answer is,2,AC15,S7,trigrams,honest answer,2,truth_and_fact,1,honest,,0,0.0,False,truth,truth.plain_statement,1,1,1,0,truth,,honest,False
complex care pathway,2,AC15,S7,trigrams,complex care pathway,3,imagination_and_possibility,1,pathway,,0,0.0,False,imagination_and_possibility,imagination_and_possibility.path_toward_feasibility,1,1,1,0,imagination_and_possibility,,pathway,False
