ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy,expression_groups,expression_first_class,expression_group_count,expression_first_class_count,layer_a_count,layer_b_count,layer_a_groups,layer_b_groups,matched_expression_terms,unclassified
and lock in risk,2,AC15,S1,quadgrams,lock risk,2,practicality_and_feasibility,1,risk,lock in,1,0.5,False,warning,warning,1,1,0,1,,warning,risk,False
becomes a schedule risk,2,AC15P,S1,quadgrams,becomes schedule risk,3,practicality_and_feasibility,2,risk|schedule,,0,0.0,False,practical_considerations_and_execution|warning,practical_considerations_and_execution.resources_timing_conditions|warning,2,2,1,1,practical_considerations_and_execution,warning,risk|schedule,False
schedule risk regardless of,2,AC15P,S1,quadgrams,schedule risk regardless,3,practicality_and_feasibility,2,risk|schedule,,0,0.0,False,practical_considerations_and_execution|warning,practical_considerations_and_execution.resources_timing_conditions|warning,2,2,1,1,practical_considerations_and_execution,warning,risk|schedule,False
schedule risk we are,2,AC15P,S1,quadgrams,schedule risk,2,practicality_and_feasibility,2,risk|schedule,,0,0.0,False,practical_considerations_and_execution|warning,practical_considerations_and_execution.resources_timing_conditions|warning,2,2,1,1,practical_considerations_and_execution,warning,risk|schedule,False
risk vendor responsiveness and,2,AC15P,S1,quadgrams,risk vendor responsiveness,3,practicality_and_feasibility,1,risk,vendor,1,0.3333333333333333,False,warning,warning,1,1,0,1,,warning,risk,False
risk stack for essential,2,AC15P,S1,quadgrams,risk stack essential,3,practicality_and_feasibility,1,risk,,0,0.0,False,warning,warning,1,1,0,1,,warning,risk,False
a higher governance risk,2,CONTROL,S1,quadgrams,higher governance risk,3,practicality_and_feasibility,1,risk,,0,0.0,False,warning,warning,1,1,0,1,,warning,risk,False
higher governance risk architecture,2,CONTROL,S1,quadgrams,higher governance risk architecture,4,practicality_and_feasibility,1,risk,architecture,1,0.25,False,warning,warning,1,1,0,1,,warning,risk,False
risk lock in resilience,2,HYBRID_3_5,S1,quadgrams,risk lock resilience,3,practicality_and_feasibility|temporal_dynamics,2,resilience|risk,lock in,1,0.3333333333333333,False,temporal_projection|warning,temporal_projection.robustness_and_resilience|warning,2,2,1,1,temporal_projection,warning,resilience|risk,False
risk and narrative risk,2,HYBRID_3_5,S1,quadgrams,risk narrative risk,3,practicality_and_feasibility,1,risk,,0,0.0,False,warning,warning,1,1,0,1,,warning,risk,False
and narrative risk even,2,HYBRID_3_5,S1,quadgrams,narrative risk even,3,practicality_and_feasibility,1,risk,,0,0.0,False,warning,warning,1,1,0,1,,warning,risk,False
narrative risk even if,2,HYBRID_3_5,S1,quadgrams,narrative risk even,3,practicality_and_feasibility,1,risk,,0,0.0,False,warning,warning,1,1,0,1,,warning,risk,False
risk if you share,2,HYBRID_3_5,S1,quadgrams,risk share,2,practicality_and_feasibility,1,risk,,0,0.0,False,warning,warning,1,1,0,1,,warning,risk,False
at risk due to,2,HYBRID_3_5,S1,quadgrams,risk due,2,practicality_and_feasibility,1,risk,,0,0.0,False,warning,warning,1,1,0,1,,warning,risk,False
and continuity risks and,2,HYBRID_SEMANTIC,S1,quadgrams,continuity risks,2,practicality_and_feasibility|temporal_dynamics,2,risks|continuity,,0,0.0,False,warning,warning,1,1,0,1,,warning,risks,False
supply chain risk than,2,HYBRID_SEMANTIC,S1,quadgrams,supply chain risk than,4,practicality_and_feasibility,1,risk,supply chain,1,0.5,False,warning,warning,1,1,0,1,,warning,risk,False
a real schedule threat,2,HYBRID_SEMANTIC,S1,quadgrams,real schedule threat,3,practicality_and_feasibility,1,schedule,,0,0.0,False,practical_considerations_and_execution|warning,practical_considerations_and_execution.resources_timing_conditions|warning,2,2,1,1,practical_considerations_and_execution,warning,schedule|threat,False
real schedule threat modular,2,HYBRID_SEMANTIC,S1,quadgrams,real schedule threat modular,4,practicality_and_feasibility,1,schedule,modular,1,0.25,False,practical_considerations_and_execution|warning,practical_considerations_and_execution.resources_timing_conditions|warning,2,2,1,1,practical_considerations_and_execution,warning,schedule|threat,False
