ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy,expression_groups,expression_first_class,expression_group_count,expression_first_class_count,layer_a_count,layer_b_count,layer_a_groups,layer_b_groups,matched_expression_terms,unclassified
supply chain fragility,2,AC15,S1,trigrams,supply chain fragility,3,,0,,supply chain,1,0.6666666666666666,False,practical_considerations_and_execution|temporal_projection,practical_considerations_and_execution.friction_and_blockers|temporal_projection.robustness_and_resilience,2,2,2,0,practical_considerations_and_execution|temporal_projection,,fragility,False
to preserve leverage,2,AC15,S1,trigrams,preserve leverage,2,,0,,,0,0.0,False,temporal_projection,temporal_projection.robustness_and_resilience,1,1,1,0,temporal_projection,,preserve,False
resilience acceptance tests,2,AC15P,S1,trigrams,resilience acceptance tests,3,temporal_dynamics,1,resilience,,0,0.0,False,temporal_projection,temporal_projection.robustness_and_resilience,1,1,1,0,temporal_projection,,resilience,False
preserve exit leverage,3,CONTROL,S1,trigrams,preserve exit leverage,3,,0,,,0,0.0,False,temporal_projection,temporal_projection.robustness_and_resilience,1,1,1,0,temporal_projection,,preserve,False
reliability safety resilience,2,CONTROL,S1,trigrams,reliability safety resilience,3,temporal_dynamics,1,resilience,,0,0.0,False,temporal_projection,temporal_projection.robustness_and_resilience,1,1,1,0,temporal_projection,,resilience,False
to preserve exit,2,CONTROL,S1,trigrams,preserve exit,2,,0,,,0,0.0,False,temporal_projection,temporal_projection.robustness_and_resilience,1,1,1,0,temporal_projection,,preserve,False
operating cost stability,4,HYBRID_3_5,S1,trigrams,operating cost stability,3,practicality_and_feasibility,1,cost,,0,0.0,False,practical_considerations_and_execution|temporal_projection,practical_considerations_and_execution.resources_timing_conditions|temporal_projection.robustness_and_resilience,2,2,2,0,practical_considerations_and_execution|temporal_projection,,cost|stability,False
lifecycle cost stability,2,HYBRID_3_5,S1,trigrams,lifecycle cost stability,3,practicality_and_feasibility|temporal_dynamics,2,cost|lifecycle,,0,0.0,False,practical_considerations_and_execution|temporal_projection,practical_considerations_and_execution.resources_timing_conditions|temporal_projection.decay_and_currency|temporal_projection.robustness_and_resilience,2,3,2,0,practical_considerations_and_execution|temporal_projection,,cost|lifecycle|stability,False
lock in resilience,2,HYBRID_3_5,S1,trigrams,lock resilience,2,temporal_dynamics,1,resilience,lock in,1,0.5,False,temporal_projection,temporal_projection.robustness_and_resilience,1,1,1,0,temporal_projection,,resilience,False
and budget stability,2,HYBRID_3_5,S1,trigrams,budget stability,2,practicality_and_feasibility,1,budget,,0,0.0,False,practical_considerations_and_execution|temporal_projection,practical_considerations_and_execution.resources_timing_conditions|temporal_projection.robustness_and_resilience,2,2,2,0,practical_considerations_and_execution|temporal_projection,,budget|stability,False
cost stability and,2,HYBRID_3_5,S1,trigrams,cost stability,2,practicality_and_feasibility,1,cost,,0,0.0,False,practical_considerations_and_execution|temporal_projection,practical_considerations_and_execution.resources_timing_conditions|temporal_projection.robustness_and_resilience,2,2,2,0,practical_considerations_and_execution|temporal_projection,,cost|stability,False
cost stability civitas,2,HYBRID_3_5,S1,trigrams,cost stability civitas,3,practicality_and_feasibility,1,cost,civitas,1,0.3333333333333333,False,practical_considerations_and_execution|temporal_projection,practical_considerations_and_execution.resources_timing_conditions|temporal_projection.robustness_and_resilience,2,2,2,0,practical_considerations_and_execution|temporal_projection,,cost|stability,False
stable cutover before,2,HYBRID_SEMANTIC,S1,trigrams,stable cutover before,3,,0,,,0,0.0,False,temporal_projection,temporal_projection.robustness_and_resilience,1,1,1,0,temporal_projection,,stable,False
stability and incident,2,HYBRID_SEMANTIC,S1,trigrams,stability incident,2,,0,,,0,0.0,False,temporal_projection,temporal_projection.robustness_and_resilience,1,1,1,0,temporal_projection,,stability,False
corridor prove stability,2,HYBRID_SEMANTIC,S1,trigrams,corridor prove stability,3,,0,,,0,0.0,False,temporal_projection,temporal_projection.robustness_and_resilience,1,1,1,0,temporal_projection,,stability,False
