ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy,expression_groups,expression_first_class,expression_group_count,expression_first_class_count,layer_a_count,layer_b_count,layer_a_groups,layer_b_groups,matched_expression_terms,unclassified
help you choose between,2,AC15P,S3,quadgrams,help choose between,3,,0,,,0,0.0,False,autonomy_sovereignty,autonomy_sovereignty,1,1,0,1,,autonomy_sovereignty,choose|you choose,False
your safety authority won,3,CONTROL,S3,quadgrams,safety authority won,3,,0,,,0,0.0,False,autonomy_sovereignty,autonomy_sovereignty,1,1,0,1,,autonomy_sovereignty,authority,False
safety authority won t,3,CONTROL,S3,quadgrams,safety authority won,3,,0,,,0,0.0,False,autonomy_sovereignty|surfacing,autonomy_sovereignty|surfacing.hard_limit_refusal,2,2,0,2,,autonomy_sovereignty|surfacing,authority|won t,False
authority won t sign,3,CONTROL,S3,quadgrams,authority won sign,3,,0,,,0,0.0,False,autonomy_sovereignty|surfacing,autonomy_sovereignty|surfacing.hard_limit_refusal,2,2,0,2,,autonomy_sovereignty|surfacing,authority|won t,False
technical authority sign off,7,HYBRID_3_5,S3,quadgrams,technical authority sign off,4,,0,,,0,0.0,False,autonomy_sovereignty,autonomy_sovereignty,1,1,0,1,,autonomy_sovereignty,authority,False
responsible technical authority sign,5,HYBRID_3_5,S3,quadgrams,responsible technical authority sign,4,,0,,,0,0.0,False,autonomy_sovereignty,autonomy_sovereignty,1,1,0,1,,autonomy_sovereignty,authority,False
or designated safety authority,4,HYBRID_3_5,S3,quadgrams,designated safety authority,3,,0,,,0,0.0,False,autonomy_sovereignty,autonomy_sovereignty,1,1,0,1,,autonomy_sovereignty,authority,False
authority sign off chief,3,HYBRID_3_5,S3,quadgrams,authority sign off chief,4,,0,,,0,0.0,False,autonomy_sovereignty,autonomy_sovereignty,1,1,0,1,,autonomy_sovereignty,authority,False
the responsible technical authority,2,HYBRID_3_5,S3,quadgrams,responsible technical authority,3,,0,,,0,0.0,False,autonomy_sovereignty,autonomy_sovereignty,1,1,0,1,,autonomy_sovereignty,authority,False
responsible technical authority will,2,HYBRID_3_5,S3,quadgrams,responsible technical authority will,4,,0,,,0,0.0,False,autonomy_sovereignty,autonomy_sovereignty,1,1,0,1,,autonomy_sovereignty,authority,False
authority must sign the,2,HYBRID_3_5,S3,quadgrams,authority must sign,3,,0,,,0,0.0,False,autonomy_sovereignty,autonomy_sovereignty,1,1,0,1,,autonomy_sovereignty,authority,False
designated safety authority has,2,HYBRID_3_5,S3,quadgrams,designated safety authority has,4,,0,,,0,0.0,False,autonomy_sovereignty,autonomy_sovereignty,1,1,0,1,,autonomy_sovereignty,authority,False
you re deciding whether,2,HYBRID_SEMANTIC,S3,quadgrams,deciding whether,2,,0,,,0,0.0,False,autonomy_sovereignty|conditions,autonomy_sovereignty|conditions,2,2,0,2,,autonomy_sovereignty|conditions,deciding|whether,False
occur stop deploy authority,2,HYBRID_SEMANTIC,S3,quadgrams,occur stop deploy authority,4,,0,,,0,0.0,False,autonomy_sovereignty|practical_considerations_and_execution,autonomy_sovereignty|practical_considerations_and_execution.action_and_execution,2,2,1,1,practical_considerations_and_execution,autonomy_sovereignty,authority|deploy,False
