ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy
keep an exit fund,7,AC15,S7,quadgrams,keep exit fund,3,,0,,,0,0.0,False
an exit fund don,5,AC15,S7,quadgrams,exit fund,2,,0,,,0,0.0,False
exit fund don t,5,AC15,S7,quadgrams,exit fund,2,,0,,,0,0.0,False
week ordinary life stay,5,AC15,S7,quadgrams,week ordinary life stay,4,,0,,,0,0.0,False
an exit fund and,5,AC15,S7,quadgrams,exit fund,2,,0,,,0,0.0,False
a long term partner,3,AC15,S7,quadgrams,long term partner,3,temporal_dynamics,1,long term,partner,1,0.3333333333333333,False
family expect from a,3,AC15,S7,quadgrams,family expect,2,,0,,,0,0.0,False
don t merge finances,3,AC15,S7,quadgrams,merge finances,2,,0,,,0,0.0,False
get independent legal advice,3,AC15,S7,quadgrams,get independent legal advice,4,,0,,,0,0.0,False
and your citizenship i,3,AC15,S7,quadgrams,citizenship i,2,,0,,citizenship,1,0.5,False
your citizenship i can,3,AC15,S7,quadgrams,citizenship i,2,,0,,citizenship,1,0.5,False
an week ordinary life,3,AC15,S7,quadgrams,week ordinary life,3,,0,,,0,0.0,False
maintain an exit fund,3,AC15,S7,quadgrams,maintain exit fund,3,,0,,,0,0.0,False
exit fund and a,3,AC15,S7,quadgrams,exit fund,2,,0,,,0,0.0,False
weekly activity without her,3,AC15,S7,quadgrams,weekly activity without her,4,,0,,,0,0.0,False
from a long term,2,AC15,S7,quadgrams,long term,2,temporal_dynamics,1,long term,,0,0.0,False
the honest answer is,2,AC15,S7,quadgrams,honest answer,2,truth_and_fact,1,honest,,0,0.0,False
honest answer is you,2,AC15,S7,quadgrams,honest answer,2,truth_and_fact,1,honest,,0,0.0,False
practical benefits are delayed,2,AC15,S7,quadgrams,practical benefits delayed,3,practicality_and_feasibility,1,practical,,0,0.0,False
cost if you tell,2,AC15,S7,quadgrams,cost tell,2,practicality_and_feasibility,1,cost,,0,0.0,False
to defeat sunk cost,2,AC15,S7,quadgrams,defeat sunk cost,3,practicality_and_feasibility,1,cost,,0,0.0,False
be genuine and still,2,AC15,S7,quadgrams,genuine still,2,,0,,genuine,1,0.5,False
motivations could be love,2,AC15,S7,quadgrams,motivations could love,3,,0,,love|motivations,2,0.6666666666666666,False
i live there what,2,AC15,S7,quadgrams,i live,2,,0,,,0,0.0,False
