ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy,expression_groups,expression_first_class,expression_group_count,expression_first_class_count,layer_a_count,layer_b_count,layer_a_groups,layer_b_groups,matched_expression_terms,unclassified
the week award constraint,2,AC15P,S1,quadgrams,week award constraint,3,practicality_and_feasibility,1,constraint,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,constrain|constraint,False
t delay start constraint,2,AC15P,S1,quadgrams,delay start constraint,3,practicality_and_feasibility,1,constraint,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution|practical_considerations_and_execution.constraints_and_tradeoffs,1,2,1,0,practical_considerations_and_execution,,constrain|constraint|start,False
the city s constraints,2,CONTROL,S1,quadgrams,city constraints,2,practicality_and_feasibility,1,constraints,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,constrain|constraints,False
emergency services incident adaptive,2,CONTROL,S1,quadgrams,emergency services incident adaptive,4,temporal_dynamics,1,adaptive,adaptive,1,0.25,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,adapt,False
cloud exception path practical,2,CONTROL,S1,quadgrams,cloud exception path practical,4,practicality_and_feasibility,1,practical,cloud,1,0.25,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,practical,False
is case by case,2,CONTROL,S1,quadgrams,case case,2,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,case by case,False
is the main constraint,2,HYBRID_3_5,S1,quadgrams,main constraint,2,practicality_and_feasibility,1,constraint,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,constrain|constraint,False
a viable alternative only,2,HYBRID_SEMANTIC,S1,quadgrams,viable alternative,2,imagination_and_possibility,1,alternative,,0,0.0,False,imagination_and_possibility|practical_considerations_and_execution,imagination_and_possibility.exploration_within_bounds|imagination_and_possibility.path_toward_feasibility|practical_considerations_and_execution.constraints_and_tradeoffs,2,3,2,0,imagination_and_possibility|practical_considerations_and_execution,,alternative|viable|viable alternative,False
viable alternative only if,2,HYBRID_SEMANTIC,S1,quadgrams,viable alternative,2,imagination_and_possibility,1,alternative,,0,0.0,False,conditions|imagination_and_possibility|practical_considerations_and_execution,conditions|imagination_and_possibility.exploration_within_bounds|imagination_and_possibility.path_toward_feasibility|practical_considerations_and_execution.constraints_and_tradeoffs,3,4,2,1,imagination_and_possibility|practical_considerations_and_execution,conditions,alternative|only if|viable|viable alternative,False
cpi bound or fixed,2,HYBRID_SEMANTIC,S1,quadgrams,cpi bound fixed,3,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,bound,False
bound or fixed escalator,2,HYBRID_SEMANTIC,S1,quadgrams,bound fixed escalator,3,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,bound,False
