scenario,level,system,expression_group,expression_group_layer,expression_subgroup,row_count,sum_count
S1,trigrams,AC15,conditions,cross_cutting,main,1,2
S1,trigrams,AC15,hedging,cross_cutting,multi_word_patterns,1,2
S1,trigrams,AC15,hedging,cross_cutting,single_word_markers,4,8
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,action_and_execution,8,16
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,constraints_and_tradeoffs,1,2
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,friction_and_blockers,3,6
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,15,31
S1,trigrams,AC15,surfacing,cross_cutting,confrontation,5,14
S1,trigrams,AC15,surfacing,cross_cutting,friction_exposed,2,4
S1,trigrams,AC15,temporal_projection,constraint_aligned,change_and_rate,10,22
S1,trigrams,AC15,temporal_projection,constraint_aligned,past_present_future,1,2
S1,trigrams,AC15,temporal_projection,constraint_aligned,robustness_and_resilience,2,4
S1,trigrams,AC15,temporal_projection,constraint_aligned,time_horizons,8,19
S1,trigrams,AC15,truth,constraint_aligned,verification,6,13
S1,trigrams,AC15,warning,cross_cutting,main,2,4
S1,trigrams,AC15P,conditions,cross_cutting,main,1,2
S1,trigrams,AC15P,hedging,cross_cutting,single_word_markers,2,9
S1,trigrams,AC15P,imagination_and_possibility,constraint_aligned,exploration_within_bounds,1,2
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,action_and_execution,13,28
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,constraints_and_tradeoffs,2,5
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,friction_and_blockers,2,4
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,22,47
S1,trigrams,AC15P,surfacing,cross_cutting,friction_exposed,2,4
S1,trigrams,AC15P,surfacing,cross_cutting,hard_limit_refusal,2,4
S1,trigrams,AC15P,temporal_projection,constraint_aligned,change_and_rate,3,6
S1,trigrams,AC15P,temporal_projection,constraint_aligned,decay_and_currency,1,2
S1,trigrams,AC15P,temporal_projection,constraint_aligned,robustness_and_resilience,1,2
S1,trigrams,AC15P,temporal_projection,constraint_aligned,time_horizons,4,9
S1,trigrams,AC15P,truth,constraint_aligned,uncertainty_marking,1,2
S1,trigrams,AC15P,truth,constraint_aligned,verification,5,10
S1,trigrams,AC15P,warning,cross_cutting,main,8,16
S1,trigrams,CONTROL,conditions,cross_cutting,main,2,5
S1,trigrams,CONTROL,hedging,cross_cutting,multi_word_patterns,2,4
S1,trigrams,CONTROL,hedging,cross_cutting,single_word_markers,8,27
S1,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,action_and_execution,7,17
S1,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,constraints_and_tradeoffs,3,6
S1,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,6,16
S1,trigrams,CONTROL,surfacing,cross_cutting,confrontation,1,4
S1,trigrams,CONTROL,temporal_projection,constraint_aligned,change_and_rate,4,10
S1,trigrams,CONTROL,temporal_projection,constraint_aligned,past_present_future,2,6
S1,trigrams,CONTROL,temporal_projection,constraint_aligned,robustness_and_resilience,3,7
S1,trigrams,CONTROL,temporal_projection,constraint_aligned,time_horizons,7,17
S1,trigrams,CONTROL,truth,constraint_aligned,uncertainty_marking,2,4
S1,trigrams,CONTROL,truth,constraint_aligned,verification,1,3
S1,trigrams,CONTROL,warning,cross_cutting,main,6,12
S1,trigrams,HYBRID_3_5,autonomy_sovereignty,cross_cutting,single_word_markers,3,6
S1,trigrams,HYBRID_3_5,conditions,cross_cutting,main,1,2
S1,trigrams,HYBRID_3_5,imagination_and_possibility,constraint_aligned,exploration_within_bounds,1,2
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,action_and_execution,7,16
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,constraints_and_tradeoffs,2,4
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,friction_and_blockers,1,2
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,14,30
S1,trigrams,HYBRID_3_5,surfacing,cross_cutting,confrontation,3,9
S1,trigrams,HYBRID_3_5,surfacing,cross_cutting,friction_exposed,2,4
S1,trigrams,HYBRID_3_5,surfacing,cross_cutting,hard_limit_refusal,1,2
S1,trigrams,HYBRID_3_5,surfacing,cross_cutting,tension_exposure,1,2
S1,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,change_and_rate,4,13
S1,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,decay_and_currency,1,2
S1,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,robustness_and_resilience,6,14
S1,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,time_horizons,4,8
S1,trigrams,HYBRID_3_5,truth,constraint_aligned,uncertainty_marking,1,2
S1,trigrams,HYBRID_3_5,truth,constraint_aligned,verification,15,30
S1,trigrams,HYBRID_3_5,warning,cross_cutting,main,6,13
S1,trigrams,HYBRID_SEMANTIC,autonomy_sovereignty,cross_cutting,single_word_markers,1,2
S1,trigrams,HYBRID_SEMANTIC,hedging,cross_cutting,single_word_markers,1,2
S1,trigrams,HYBRID_SEMANTIC,imagination_and_possibility,constraint_aligned,exploration_within_bounds,2,4
S1,trigrams,HYBRID_SEMANTIC,imagination_and_possibility,constraint_aligned,path_toward_feasibility,7,14
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,constraint_aligned,action_and_execution,11,25
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,constraint_aligned,constraints_and_tradeoffs,6,12
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,constraint_aligned,friction_and_blockers,1,2
