scenario,level,expression_group_layer,expression_group,expression_subgroup,row_count,sum_count,system_count,systems,share_of_scenario_level_grouped_rows,share_of_scenario_level_grouped_sum
S1,quadgrams,cross_cutting,autonomy_sovereignty,single_word_markers,2,4,2,HYBRID_3_5;HYBRID_SEMANTIC,0.008333,0.007435
S1,quadgrams,cross_cutting,conditions,main,4,9,3,CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.016667,0.016729
S1,quadgrams,cross_cutting,hedging,multi_word_patterns,3,6,3,AC15P;CONTROL;HYBRID_SEMANTIC,0.012500,0.011152
S1,quadgrams,cross_cutting,hedging,single_word_markers,15,45,3,AC15;AC15P;CONTROL,0.062500,0.083643
S1,quadgrams,constraint_aligned,imagination_and_possibility,exploration_within_bounds,3,6,2,AC15P;HYBRID_SEMANTIC,0.012500,0.011152
S1,quadgrams,constraint_aligned,imagination_and_possibility,path_toward_feasibility,9,18,2,AC15P;HYBRID_SEMANTIC,0.037500,0.033457
S1,quadgrams,constraint_aligned,practical_considerations_and_execution,action_and_execution,36,79,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.150000,0.146840
S1,quadgrams,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,11,22,4,AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.045833,0.040892
S1,quadgrams,constraint_aligned,practical_considerations_and_execution,friction_and_blockers,3,6,3,AC15;AC15P;HYBRID_3_5,0.012500,0.011152
S1,quadgrams,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,48,101,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.200000,0.187732
S1,quadgrams,cross_cutting,surfacing,confrontation,16,44,4,AC15;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.066667,0.081784
S1,quadgrams,cross_cutting,surfacing,friction_exposed,3,6,3,AC15;AC15P;HYBRID_3_5,0.012500,0.011152
S1,quadgrams,cross_cutting,surfacing,hard_limit_refusal,3,7,2,AC15P;HYBRID_SEMANTIC,0.012500,0.013011
S1,quadgrams,constraint_aligned,temporal_projection,change_and_rate,33,79,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.137500,0.146840
S1,quadgrams,constraint_aligned,temporal_projection,decay_and_currency,3,6,1,AC15P,0.012500,0.011152
S1,quadgrams,constraint_aligned,temporal_projection,past_present_future,4,9,3,AC15P;CONTROL;HYBRID_SEMANTIC,0.016667,0.016729
S1,quadgrams,constraint_aligned,temporal_projection,robustness_and_resilience,6,12,4,AC15;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.025000,0.022305
S1,quadgrams,constraint_aligned,temporal_projection,time_horizons,20,44,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.083333,0.081784
S1,quadgrams,constraint_aligned,truth,fact_vs_interpretation,1,2,1,HYBRID_SEMANTIC,0.004167,0.003717
S1,quadgrams,constraint_aligned,truth,uncertainty_marking,3,6,2,CONTROL;HYBRID_3_5,0.012500,0.011152
S1,quadgrams,constraint_aligned,truth,verification,38,76,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.158333,0.141264
S1,quadgrams,cross_cutting,warning,main,18,36,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.075000,0.066914
S1,trigrams,cross_cutting,autonomy_sovereignty,single_word_markers,4,8,2,HYBRID_3_5;HYBRID_SEMANTIC,0.012987,0.011445
S1,trigrams,cross_cutting,conditions,main,5,11,4,AC15;AC15P;CONTROL;HYBRID_3_5,0.016234,0.015737
S1,trigrams,cross_cutting,hedging,multi_word_patterns,3,6,2,AC15;CONTROL,0.009740,0.008584
S1,trigrams,cross_cutting,hedging,single_word_markers,15,46,4,AC15;AC15P;CONTROL;HYBRID_SEMANTIC,0.048701,0.065808
S1,trigrams,constraint_aligned,imagination_and_possibility,exploration_within_bounds,4,8,3,AC15P;HYBRID_3_5;HYBRID_SEMANTIC,0.012987,0.011445
S1,trigrams,constraint_aligned,imagination_and_possibility,path_toward_feasibility,7,14,1,HYBRID_SEMANTIC,0.022727,0.020029
S1,trigrams,constraint_aligned,practical_considerations_and_execution,action_and_execution,46,102,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.149351,0.145923
S1,trigrams,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,14,29,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.045455,0.041488
S1,trigrams,constraint_aligned,practical_considerations_and_execution,friction_and_blockers,7,14,4,AC15;AC15P;HYBRID_3_5;HYBRID_SEMANTIC,0.022727,0.020029
S1,trigrams,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,71,153,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.230519,0.218884
S1,trigrams,cross_cutting,surfacing,confrontation,11,35,4,AC15;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.035714,0.050072
S1,trigrams,cross_cutting,surfacing,friction_exposed,7,14,4,AC15;AC15P;HYBRID_3_5;HYBRID_SEMANTIC,0.022727,0.020029
S1,trigrams,cross_cutting,surfacing,hard_limit_refusal,4,8,3,AC15P;HYBRID_3_5;HYBRID_SEMANTIC,0.012987,0.011445
S1,trigrams,cross_cutting,surfacing,tension_exposure,1,2,1,HYBRID_3_5,0.003247,0.002861
S1,trigrams,constraint_aligned,temporal_projection,change_and_rate,29,69,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.094156,0.098712
S1,trigrams,constraint_aligned,temporal_projection,decay_and_currency,2,4,2,AC15P;HYBRID_3_5,0.006494,0.005722
S1,trigrams,constraint_aligned,temporal_projection,past_present_future,4,11,3,AC15;CONTROL;HYBRID_SEMANTIC,0.012987,0.015737
S1,trigrams,constraint_aligned,temporal_projection,robustness_and_resilience,15,33,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.048701,0.047210
S1,trigrams,constraint_aligned,temporal_projection,time_horizons,30,69,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.097403,0.098712
S1,trigrams,constraint_aligned,truth,fact_vs_interpretation,2,4,1,HYBRID_SEMANTIC,0.006494,0.005722
S1,trigrams,constraint_aligned,truth,uncertainty_marking,4,8,3,AC15P;CONTROL;HYBRID_3_5,0.012987,0.011445
S1,trigrams,constraint_aligned,truth,verification,40,89,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.129870,0.127325
S1,trigrams,cross_cutting,warning,main,27,55,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.087662,0.078684
S3,quadgrams,cross_cutting,autonomy_sovereignty,multi_word_patterns,1,2,1,AC15P,0.005348,0.004902
S3,quadgrams,cross_cutting,autonomy_sovereignty,single_word_markers,14,42,4,AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.074866,0.102941
S3,quadgrams,cross_cutting,conditions,main,10,22,3,AC15P;CONTROL;HYBRID_SEMANTIC,0.053476,0.053922
S3,quadgrams,cross_cutting,hedging,multi_word_patterns,1,2,1,AC15P,0.005348,0.004902
S3,quadgrams,cross_cutting,hedging,single_word_markers,11,22,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.058824,0.053922
S3,quadgrams,constraint_aligned,imagination_and_possibility,exploration_within_bounds,3,6,2,AC15;HYBRID_3_5,0.016043,0.014706
S3,quadgrams,constraint_aligned,imagination_and_possibility,path_toward_feasibility,16,34,4,AC15;AC15P;HYBRID_3_5;HYBRID_SEMANTIC,0.085561,0.083333
S3,quadgrams,constraint_aligned,imagination_and_possibility,tension_as_fuel,2,4,2,AC15P;CONTROL,0.010695,0.009804
S3,quadgrams,constraint_aligned,practical_considerations_and_execution,action_and_execution,51,104,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.272727,0.254902
S3,quadgrams,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,32,69,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.171123,0.169118
S3,quadgrams,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,10,21,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.053476,0.051471
S3,quadgrams,cross_cutting,smoothing,main,3,6,1,AC15P,0.016043,0.014706
S3,quadgrams,cross_cutting,surfacing,confrontation,4,9,2,AC15P;HYBRID_SEMANTIC,0.021390,0.022059
S3,quadgrams,cross_cutting,surfacing,friction_exposed,1,2,1,HYBRID_3_5,0.005348,0.004902
S3,quadgrams,cross_cutting,surfacing,hard_limit_refusal,13,28,4,AC15;AC15P;CONTROL;HYBRID_SEMANTIC,0.069519,0.068627
S3,quadgrams,constraint_aligned,temporal_projection,change_and_rate,11,24,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.058824,0.058824
S3,quadgrams,constraint_aligned,temporal_projection,decay_and_currency,1,2,1,AC15,0.005348,0.004902
S3,quadgrams,constraint_aligned,temporal_projection,robustness_and_resilience,4,8,2,AC15;AC15P,0.021390,0.019608
S3,quadgrams,constraint_aligned,temporal_projection,time_horizons,13,33,4,AC15;AC15P;CONTROL;HYBRID_SEMANTIC,0.069519,0.080882
S3,quadgrams,constraint_aligned,truth,fact_vs_interpretation,4,8,2,AC15;CONTROL,0.021390,0.019608
S3,quadgrams,constraint_aligned,truth,verification,12,24,4,AC15;AC15P;CONTROL;HYBRID_3_5,0.064171,0.058824
S3,quadgrams,cross_cutting,warning,main,10,23,3,CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.053476,0.056373
S3,trigrams,cross_cutting,autonomy_sovereignty,multi_word_patterns,1,2,1,AC15P,0.003401,0.003026
S3,trigrams,cross_cutting,autonomy_sovereignty,single_word_markers,15,53,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.051020,0.080182
S3,trigrams,cross_cutting,conditions,main,10,21,4,AC15;AC15P;CONTROL;HYBRID_SEMANTIC,0.034014,0.031770
S3,trigrams,cross_cutting,hedging,multi_word_patterns,1,2,1,AC15P,0.003401,0.003026
S3,trigrams,cross_cutting,hedging,single_word_markers,11,23,4,AC15;AC15P;HYBRID_3_5;HYBRID_SEMANTIC,0.037415,0.034796
S3,trigrams,constraint_aligned,imagination_and_possibility,exploration_within_bounds,2,4,1,AC15,0.006803,0.006051
S3,trigrams,constraint_aligned,imagination_and_possibility,path_toward_feasibility,24,59,4,AC15;AC15P;HYBRID_3_5;HYBRID_SEMANTIC,0.081633,0.089259
S3,trigrams,constraint_aligned,imagination_and_possibility,tension_as_fuel,4,8,2,AC15P;CONTROL,0.013605,0.012103
S3,trigrams,constraint_aligned,practical_considerations_and_execution,action_and_execution,80,172,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.272109,0.260212
S3,trigrams,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,43,93,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.146259,0.140696
S3,trigrams,constraint_aligned,practical_considerations_and_execution,friction_and_blockers,1,2,1,HYBRID_3_5,0.003401,0.003026
S3,trigrams,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,26,53,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.088435,0.080182
S3,trigrams,cross_cutting,smoothing,main,4,8,2,AC15P;HYBRID_SEMANTIC,0.013605,0.012103
S3,trigrams,cross_cutting,surfacing,confrontation,5,12,4,AC15;AC15P;HYBRID_3_5;HYBRID_SEMANTIC,0.017007,0.018154
S3,trigrams,cross_cutting,surfacing,friction_exposed,7,15,4,AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.023810,0.022693
S3,trigrams,cross_cutting,surfacing,hard_limit_refusal,14,30,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.047619,0.045386
S3,trigrams,cross_cutting,surfacing,tension_exposure,1,2,1,CONTROL,0.003401,0.003026
S3,trigrams,constraint_aligned,temporal_projection,change_and_rate,21,45,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.071429,0.068079
S3,trigrams,constraint_aligned,temporal_projection,decay_and_currency,1,2,1,AC15,0.003401,0.003026
S3,trigrams,constraint_aligned,temporal_projection,past_present_future,1,2,1,HYBRID_SEMANTIC,0.003401,0.003026
S3,trigrams,constraint_aligned,temporal_projection,robustness_and_resilience,5,10,3,AC15;AC15P;HYBRID_3_5,0.017007,0.015129
S3,trigrams,constraint_aligned,temporal_projection,time_horizons,22,52,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.074830,0.078669
S3,trigrams,constraint_aligned,truth,fact_vs_interpretation,3,6,3,AC15;CONTROL;HYBRID_3_5,0.010204,0.009077
S3,trigrams,constraint_aligned,truth,uncertainty_marking,1,2,1,AC15,0.003401,0.003026
S3,trigrams,constraint_aligned,truth,verification,16,32,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.054422,0.048411
S3,trigrams,cross_cutting,warning,main,18,42,4,AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.061224,0.063540
S5,quadgrams,cross_cutting,autonomy_sovereignty,multi_word_patterns,1,2,1,HYBRID_SEMANTIC,0.005435,0.004926
S5,quadgrams,cross_cutting,autonomy_sovereignty,single_word_markers,3,6,2,CONTROL;HYBRID_SEMANTIC,0.016304,0.014778
S5,quadgrams,cross_cutting,conditions,main,9,18,4,AC15;AC15P;HYBRID_3_5;HYBRID_SEMANTIC,0.048913,0.044335
S5,quadgrams,cross_cutting,hedging,multi_word_patterns,2,4,2,CONTROL;HYBRID_3_5,0.010870,0.009852
S5,quadgrams,cross_cutting,hedging,single_word_markers,16,33,3,AC15P;CONTROL;HYBRID_3_5,0.086957,0.081281
S5,quadgrams,constraint_aligned,imagination_and_possibility,exploration_within_bounds,7,16,2,AC15P;HYBRID_SEMANTIC,0.038043,0.039409
S5,quadgrams,constraint_aligned,imagination_and_possibility,speculative_boundary_marking,2,4,1,HYBRID_3_5,0.010870,0.009852
S5,quadgrams,constraint_aligned,practical_considerations_and_execution,action_and_execution,17,38,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.092391,0.093596
S5,quadgrams,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,30,75,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.163043,0.184729
S5,quadgrams,cross_cutting,smoothing,main,1,2,1,HYBRID_SEMANTIC,0.005435,0.004926
S5,quadgrams,cross_cutting,surfacing,confrontation,7,14,3,AC15;AC15P;HYBRID_SEMANTIC,0.038043,0.034483
S5,quadgrams,cross_cutting,surfacing,friction_exposed,5,10,2,AC15P;CONTROL,0.027174,0.024631
S5,quadgrams,cross_cutting,surfacing,hard_limit_refusal,8,16,4,AC15;AC15P;HYBRID_3_5;HYBRID_SEMANTIC,0.043478,0.039409
S5,quadgrams,cross_cutting,surfacing,tension_exposure,2,4,2,AC15;CONTROL,0.010870,0.009852
S5,quadgrams,constraint_aligned,temporal_projection,change_and_rate,1,2,1,AC15P,0.005435,0.004926
S5,quadgrams,constraint_aligned,temporal_projection,decay_and_currency,27,65,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.146739,0.160099
S5,quadgrams,constraint_aligned,temporal_projection,robustness_and_resilience,8,20,3,AC15P;HYBRID_3_5;HYBRID_SEMANTIC,0.043478,0.049261
S5,quadgrams,constraint_aligned,temporal_projection,time_horizons,9,18,4,AC15;AC15P;CONTROL;HYBRID_3_5,0.048913,0.044335
S5,quadgrams,constraint_aligned,truth,fact_vs_interpretation,4,8,3,AC15;HYBRID_3_5;HYBRID_SEMANTIC,0.021739,0.019704
S5,quadgrams,constraint_aligned,truth,verification,53,115,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.288043,0.283251
S5,quadgrams,cross_cutting,warning,main,5,10,3,AC15;HYBRID_3_5;HYBRID_SEMANTIC,0.027174,0.024631
S5,trigrams,cross_cutting,autonomy_sovereignty,multi_word_patterns,1,2,1,HYBRID_SEMANTIC,0.003937,0.003497
S5,trigrams,cross_cutting,autonomy_sovereignty,single_word_markers,8,16,3,AC15;CONTROL;HYBRID_SEMANTIC,0.031496,0.027972
S5,trigrams,cross_cutting,conditions,main,10,20,4,AC15;AC15P;HYBRID_3_5;HYBRID_SEMANTIC,0.039370,0.034965
S5,trigrams,cross_cutting,hedging,multi_word_patterns,2,4,2,HYBRID_3_5;HYBRID_SEMANTIC,0.007874,0.006993
S5,trigrams,cross_cutting,hedging,single_word_markers,18,36,4,AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.070866,0.062937
S5,trigrams,constraint_aligned,imagination_and_possibility,exploration_within_bounds,9,21,4,AC15;AC15P;HYBRID_3_5;HYBRID_SEMANTIC,0.035433,0.036713
S5,trigrams,constraint_aligned,imagination_and_possibility,speculative_boundary_marking,4,9,2,HYBRID_3_5;HYBRID_SEMANTIC,0.015748,0.015734
S5,trigrams,constraint_aligned,practical_considerations_and_execution,action_and_execution,19,43,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.074803,0.075175
S5,trigrams,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,35,83,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.137795,0.145105
S5,trigrams,constraint_aligned,practical_considerations_and_execution,friction_and_blockers,1,2,1,AC15,0.003937,0.003497
S5,trigrams,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,1,2,1,AC15,0.003937,0.003497
S5,trigrams,cross_cutting,smoothing,main,3,6,1,HYBRID_SEMANTIC,0.011811,0.010490
S5,trigrams,cross_cutting,surfacing,confrontation,10,21,4,AC15;AC15P;CONTROL;HYBRID_SEMANTIC,0.039370,0.036713
S5,trigrams,cross_cutting,surfacing,friction_exposed,8,19,3,AC15;AC15P;CONTROL,0.031496,0.033217
S5,trigrams,cross_cutting,surfacing,hard_limit_refusal,1,2,1,HYBRID_SEMANTIC,0.003937,0.003497
S5,trigrams,cross_cutting,surfacing,tension_exposure,6,13,2,AC15;CONTROL,0.023622,0.022727
S5,trigrams,constraint_aligned,temporal_projection,change_and_rate,1,2,1,CONTROL,0.003937,0.003497
S5,trigrams,constraint_aligned,temporal_projection,decay_and_currency,40,93,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.157480,0.162587
S5,trigrams,constraint_aligned,temporal_projection,robustness_and_resilience,12,32,4,AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.047244,0.055944
S5,trigrams,constraint_aligned,temporal_projection,time_horizons,10,20,4,AC15;AC15P;CONTROL;HYBRID_3_5,0.039370,0.034965
S5,trigrams,constraint_aligned,truth,fact_vs_interpretation,4,8,3,AC15;AC15P;HYBRID_SEMANTIC,0.015748,0.013986
