scenario,level,system,expression_group,expression_group_layer,row_count,sum_count
S1,trigrams,AC15,conditions,cross_cutting,1,2
S1,trigrams,AC15,hedging,cross_cutting,4,8
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,27,55
S1,trigrams,AC15,surfacing,cross_cutting,7,18
S1,trigrams,AC15,temporal_projection,constraint_aligned,21,47
S1,trigrams,AC15,truth,constraint_aligned,6,13
S1,trigrams,AC15,warning,cross_cutting,2,4
S1,trigrams,AC15P,conditions,cross_cutting,1,2
S1,trigrams,AC15P,hedging,cross_cutting,2,9
S1,trigrams,AC15P,imagination_and_possibility,constraint_aligned,1,2
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,39,84
S1,trigrams,AC15P,surfacing,cross_cutting,4,8
S1,trigrams,AC15P,temporal_projection,constraint_aligned,9,19
S1,trigrams,AC15P,truth,constraint_aligned,6,12
S1,trigrams,AC15P,warning,cross_cutting,8,16
S1,trigrams,CONTROL,conditions,cross_cutting,2,5
S1,trigrams,CONTROL,hedging,cross_cutting,8,27
S1,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,16,39
S1,trigrams,CONTROL,surfacing,cross_cutting,1,4
S1,trigrams,CONTROL,temporal_projection,constraint_aligned,16,40
S1,trigrams,CONTROL,truth,constraint_aligned,3,7
S1,trigrams,CONTROL,warning,cross_cutting,6,12
S1,trigrams,HYBRID_3_5,autonomy_sovereignty,cross_cutting,3,6
S1,trigrams,HYBRID_3_5,conditions,cross_cutting,1,2
S1,trigrams,HYBRID_3_5,imagination_and_possibility,constraint_aligned,1,2
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,24,52
S1,trigrams,HYBRID_3_5,surfacing,cross_cutting,7,17
S1,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,14,35
S1,trigrams,HYBRID_3_5,truth,constraint_aligned,16,32
S1,trigrams,HYBRID_3_5,warning,cross_cutting,6,13
S1,trigrams,HYBRID_SEMANTIC,autonomy_sovereignty,cross_cutting,1,2
S1,trigrams,HYBRID_SEMANTIC,hedging,cross_cutting,1,2
S1,trigrams,HYBRID_SEMANTIC,imagination_and_possibility,constraint_aligned,8,16
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,constraint_aligned,32,68
S1,trigrams,HYBRID_SEMANTIC,surfacing,cross_cutting,4,12
S1,trigrams,HYBRID_SEMANTIC,temporal_projection,constraint_aligned,18,41
S1,trigrams,HYBRID_SEMANTIC,truth,constraint_aligned,15,37
S1,trigrams,HYBRID_SEMANTIC,warning,cross_cutting,5,10
S3,trigrams,AC15,autonomy_sovereignty,cross_cutting,1,2
S3,trigrams,AC15,conditions,cross_cutting,1,2
S3,trigrams,AC15,hedging,cross_cutting,3,6
S3,trigrams,AC15,imagination_and_possibility,constraint_aligned,2,4
S3,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,24,49
S3,trigrams,AC15,surfacing,cross_cutting,2,4
S3,trigrams,AC15,temporal_projection,constraint_aligned,10,20
S3,trigrams,AC15,truth,constraint_aligned,6,12
S3,trigrams,AC15P,autonomy_sovereignty,cross_cutting,1,2
S3,trigrams,AC15P,conditions,cross_cutting,3,7
S3,trigrams,AC15P,hedging,cross_cutting,6,13
S3,trigrams,AC15P,imagination_and_possibility,constraint_aligned,8,16
S3,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,36,76
S3,trigrams,AC15P,smoothing,cross_cutting,3,6
S3,trigrams,AC15P,surfacing,cross_cutting,6,12
S3,trigrams,AC15P,temporal_projection,constraint_aligned,15,35
S3,trigrams,AC15P,truth,constraint_aligned,4,8
S3,trigrams,AC15P,warning,cross_cutting,4,10
S3,trigrams,CONTROL,autonomy_sovereignty,cross_cutting,4,13
S3,trigrams,CONTROL,conditions,cross_cutting,4,8
S3,trigrams,CONTROL,imagination_and_possibility,constraint_aligned,1,2
S3,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,17,38
S3,trigrams,CONTROL,surfacing,cross_cutting,7,16
S3,trigrams,CONTROL,temporal_projection,constraint_aligned,5,10
S3,trigrams,CONTROL,truth,constraint_aligned,2,4
S3,trigrams,CONTROL,warning,cross_cutting,6,12
S3,trigrams,HYBRID_3_5,autonomy_sovereignty,cross_cutting,8,34
S3,trigrams,HYBRID_3_5,hedging,cross_cutting,2,4
S3,trigrams,HYBRID_3_5,imagination_and_possibility,constraint_aligned,1,2
S3,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,31,65
S3,trigrams,HYBRID_3_5,surfacing,cross_cutting,6,13
S3,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,9,20
S3,trigrams,HYBRID_3_5,truth,constraint_aligned,7,14
S3,trigrams,HYBRID_3_5,warning,cross_cutting,4,11
S3,trigrams,HYBRID_SEMANTIC,autonomy_sovereignty,cross_cutting,1,2
S3,trigrams,HYBRID_SEMANTIC,conditions,cross_cutting,2,4
S3,trigrams,HYBRID_SEMANTIC,hedging,cross_cutting,1,2
S3,trigrams,HYBRID_SEMANTIC,imagination_and_possibility,constraint_aligned,16,43
S3,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,constraint_aligned,36,80
S3,trigrams,HYBRID_SEMANTIC,smoothing,cross_cutting,1,2
S3,trigrams,HYBRID_SEMANTIC,surfacing,cross_cutting,5,12
S3,trigrams,HYBRID_SEMANTIC,temporal_projection,constraint_aligned,11,26
S3,trigrams,HYBRID_SEMANTIC,truth,constraint_aligned,1,2
S3,trigrams,HYBRID_SEMANTIC,warning,cross_cutting,4,9
S5,trigrams,AC15,autonomy_sovereignty,cross_cutting,1,2
S5,trigrams,AC15,conditions,cross_cutting,1,2
S5,trigrams,AC15,imagination_and_possibility,constraint_aligned,1,2
S5,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,25,56
S5,trigrams,AC15,surfacing,cross_cutting,6,12
S5,trigrams,AC15,temporal_projection,constraint_aligned,13,30
S5,trigrams,AC15,truth,constraint_aligned,18,41
S5,trigrams,AC15,warning,cross_cutting,2,4
S5,trigrams,AC15P,conditions,cross_cutting,4,8
S5,trigrams,AC15P,hedging,cross_cutting,5,10
S5,trigrams,AC15P,imagination_and_possibility,constraint_aligned,5,13
S5,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,9,20
S5,trigrams,AC15P,surfacing,cross_cutting,5,12
S5,trigrams,AC15P,temporal_projection,constraint_aligned,22,59
S5,trigrams,AC15P,truth,constraint_aligned,21,53
S5,trigrams,AC15P,warning,cross_cutting,3,6
S5,trigrams,CONTROL,autonomy_sovereignty,cross_cutting,1,2
S5,trigrams,CONTROL,hedging,cross_cutting,5,10
S5,trigrams,CONTROL,practical_considerations_and_execution,constraint_aligned,10,30
S5,trigrams,CONTROL,surfacing,cross_cutting,10,23
S5,trigrams,CONTROL,temporal_projection,constraint_aligned,10,20
S5,trigrams,CONTROL,truth,constraint_aligned,17,38
S5,trigrams,HYBRID_3_5,conditions,cross_cutting,2,4
S5,trigrams,HYBRID_3_5,hedging,cross_cutting,7,14
S5,trigrams,HYBRID_3_5,imagination_and_possibility,constraint_aligned,4,9
S5,trigrams,HYBRID_3_5,practical_considerations_and_execution,constraint_aligned,5,10
S5,trigrams,HYBRID_3_5,temporal_projection,constraint_aligned,9,18
S5,trigrams,HYBRID_3_5,truth,constraint_aligned,11,26
S5,trigrams,HYBRID_3_5,warning,cross_cutting,2,4
S5,trigrams,HYBRID_SEMANTIC,autonomy_sovereignty,cross_cutting,6,12
S5,trigrams,HYBRID_SEMANTIC,conditions,cross_cutting,3,6
S5,trigrams,HYBRID_SEMANTIC,hedging,cross_cutting,1,2
S5,trigrams,HYBRID_SEMANTIC,imagination_and_possibility,constraint_aligned,3,6
S5,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,constraint_aligned,7,14
S5,trigrams,HYBRID_SEMANTIC,smoothing,cross_cutting,3,6
S5,trigrams,HYBRID_SEMANTIC,surfacing,cross_cutting,4,8
S5,trigrams,HYBRID_SEMANTIC,temporal_projection,constraint_aligned,9,20
S5,trigrams,HYBRID_SEMANTIC,truth,constraint_aligned,17,36
S5,trigrams,HYBRID_SEMANTIC,warning,cross_cutting,3,6
S7,trigrams,AC15,autonomy_sovereignty,cross_cutting,2,4
S7,trigrams,AC15,conditions,cross_cutting,2,4
S7,trigrams,AC15,hedging,cross_cutting,6,12
S7,trigrams,AC15,imagination_and_possibility,constraint_aligned,4,9
S7,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,17,35
