Scenario 5 - Bigrams,,,,,,,,,
CONTROL,,AC15,,AC15P,,HYBRID_3_5,,HYBRID_SEMANTIC,
Bigram,Count,Bigram,Count,Bigram,Count,Bigram,Count,Bigram,Count
if you,44,if you,37,if you,43,if you,38,if you,52
it s,40,it s,36,it s,33,it s,31,it s,36
don t,25,don t,30,you can,29,don t,27,don t,26
fresh eyes,20,fresh eyes,28,fresh eyes,24,fresh eyes,25,by default,24
project memory,20,you can,19,don t,24,the assistant,24,you can,23
as a,19,layer a,18,the assistant,22,current code,19,project brief,21
you can,19,the ai,18,memory is,20,you can,17,on demand,20
by default,18,is the,16,project memory,20,can t,16,fresh eyes,17
decisions conventions,16,summaries records,16,project brief,20,adrs conventions,16,as a,15
the user,14,as the,16,can t,18,re briefing,16,one click,15
system map,14,this is,15,by default,17,by default,15,can be,15
conventions constraints,13,layer b,15,can be,15,project memory,15,rather than,15
re briefing,13,memory is,14,durable artifacts,15,e g,15,project memory,14
can t,12,project memory,14,prs issues,15,project brief,15,constraints conventions,14
curated memory,12,e g,14,evidence retrieval,15,memory is,14,deep recall,14
is the,12,can t,14,needs review,14,because it,14,the user,13
memory that,12,project brief,14,re briefing,14,branch commit,14,because it,13
the repo,12,as a,14,pr issue,14,eyes mode,13,the system,13
the model,12,that s,13,the model,13,the model,12,continuity is,12
the system,12,decisions constraints,13,is a,13,users can,12,always on,12
evidence index,12,current code,13,this is,12,if the,12,decisions constraints,12
the ai,11,is a,13,accepted superseded,12,the spine,12,evidence retrieval,12
it as,11,by default,13,repo branch,12,that s,12,canonical memory,12
can be,11,re briefing,13,the ai,12,brief adrs,12,doesn t,12
canonical memory,11,authoritative memory,12,verified outcomes,12,as the,11,re brief,12
scope tags,11,active superseded,12,yesterday s,11,opt in,11,must be,11
isn t,10,can be,12,e g,11,as a,11,how it,10
the assistant,10,over time,12,rather than,11,conventions constraints,11,can t,10
is a,10,users can,11,continuity is,11,recency version,11,the model,10
memory is,10,you re,10,on demand,10,should be,10,stack traces,10
as the,10,not a,10,i can,10,you ll,10,end of,10
yesterday s,10,if it,10,is the,10,evidence retrieval,10,of session,10
doesn t,10,time aware,9,validity checks,10,auto load,10,no memory,10
vector store,9,vectors as,9,not a,10,likely to,10,memory is,10
this is,9,what to,9,summaries adrs,10,continuity is,10,source linked,10
did we,9,status active,9,as a,10,if it,9,is a,9
project baseline,9,superseded deprecated,9,must be,9,can be,9,so the,9
re brief,9,high impact,9,decisions conventions,9,evidence store,9,canonical project,9
because it,9,must be,9,what the,9,of the,9,branch sha,9
continuity is,9,one click,9,adrs prs,9,memory used,9,yesterday s,9
repo verification,9,mark outdated,9,if the,9,project continuum,8,default on,9
what s,9,the user,9,with citations,9,it can,8,that s,9
project notebook,9,doesn t,9,should we,8,the ai,8,brief only,9
like a,8,constraints conventions,9,you want,8,volatile history,8,vectors are,9
is not,8,continuity is,9,memory as,8,retrieval is,8,canonical brief,9
we try,8,is not,8,issues runbooks,8,is the,8,should be,8
when the,8,retrieval is,8,runbooks postmortems,8,unless you,8,not a,8
evidence not,8,when the,8,only if,8,time version,8,what s,8
if the,8,service module,8,if it,8,pr discussions,8,constraints only,8
you ll,8,user approved,8,vs continuum,8,we decided,8,did we,8
but only,8,g days,8,the architecture,8,status active,8,i can,8
you want,8,with ttl,8,treated as,8,i can,8,this is,8
and repo,8,bottom line,8,and how,8,curated spine,8,why this,8
why this,8,it as,8,bottom line,8,exclude pin,8,e g,8
the default,8,even if,8,is worth,8,high signal,8,is the,8
branch commit,8,and can,8,why it,8,this is,7,it can,8
