ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy,expression_groups,expression_first_class,expression_group_count,expression_first_class_count,layer_a_count,layer_b_count,layer_a_groups,layer_b_groups,matched_expression_terms,unclassified
click mark outdated,4,AC15,S5,trigrams,click mark outdated,3,temporal_dynamics,1,outdated,,0,0.0,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,outdated,False
superseded deprecated created_at,3,AC15,S5,trigrams,superseded deprecated created_at,3,temporal_dynamics,1,deprecat,deprecated,1,0.3333333333333333,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,deprecat|deprecated,False
deprecated created_at last_confirmed_at,3,AC15,S5,trigrams,deprecated created_at last_confirmed_at,3,temporal_dynamics,1,deprecat,deprecated,1,0.3333333333333333,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,deprecat|deprecated,False
decaying cited evidence,2,AC15,S5,trigrams,decaying cited evidence,3,truth_and_fact|temporal_dynamics,2,decaying|evidence,,0,0.0,False,temporal_projection|truth,temporal_projection.decay_and_currency|truth.verification,2,2,2,0,temporal_projection|truth,,decaying|evidence,False
as decaying cited,2,AC15,S5,trigrams,decaying cited,2,temporal_dynamics,1,decaying,,0,0.0,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,decaying,False
task fresh eyes,2,AC15,S5,trigrams,task fresh eyes,3,,0,,fresh eyes,1,0.6666666666666666,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,fresh,False
history and stale,2,AC15,S5,trigrams,history stale,2,,0,,stale,1,0.5,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,stale,False
fresh eyes this,2,AC15,S5,trigrams,fresh eyes,2,,0,,fresh eyes,1,1.0,True,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,fresh,False
go stale because,2,AC15,S5,trigrams,go stale because,3,,0,,stale,1,0.3333333333333333,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,stale,False
fresh eyes escape,2,AC15,S5,trigrams,fresh eyes escape,3,,0,,fresh eyes,1,0.6666666666666666,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,fresh,False
a fresh eyes,2,AC15,S5,trigrams,fresh eyes,2,,0,,fresh eyes,1,1.0,True,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,fresh,False
accepted superseded deprecated,6,AC15P,S5,trigrams,accepted superseded deprecated,3,temporal_dynamics,1,deprecat,deprecated,1,0.3333333333333333,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,deprecat|deprecated,False
superseded deprecated needs,3,AC15P,S5,trigrams,superseded deprecated needs,3,temporal_dynamics,1,deprecat,deprecated,1,0.3333333333333333,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,deprecat|deprecated,False
deprecated needs review,3,AC15P,S5,trigrams,deprecated needs review,3,temporal_dynamics,1,deprecat,deprecated,1,0.3333333333333333,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,deprecat|deprecated,False
repo validity checks,3,AC15P,S5,trigrams,repo validity checks,3,,0,,,0,0.0,False,temporal_projection|truth,temporal_projection.decay_and_currency|truth.verification,2,2,2,0,temporal_projection|truth,,checks|validity,False
staleness risk is,2,AC15P,S5,trigrams,staleness risk,2,practicality_and_feasibility,1,risk,staleness,1,0.5,False,temporal_projection|warning,temporal_projection.decay_and_currency|warning,2,2,1,1,temporal_projection,warning,risk|staleness,False
superseding deprecating items,2,AC15P,S5,trigrams,superseding deprecating items,3,temporal_dynamics,1,deprecat,,0,0.0,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,deprecat,False
staleness and governance,2,AC15P,S5,trigrams,staleness governance,2,,0,,staleness,1,0.5,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,staleness,False
fresh eyes suppress,2,AC15P,S5,trigrams,fresh eyes suppress,3,,0,,fresh eyes,1,0.6666666666666666,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,fresh,False
becomes stale if,2,AC15P,S5,trigrams,becomes stale,2,,0,,stale,1,0.5,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,stale,False
visible fresh eyes,2,AC15P,S5,trigrams,visible fresh eyes,3,,0,,fresh eyes,1,0.6666666666666666,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,fresh,False
fresh eyes continuum,2,AC15P,S5,trigrams,fresh eyes continuum,3,,0,,continuum|fresh eyes,2,1.0,True,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,fresh,False
provenance editability staleness,2,CONTROL,S5,trigrams,provenance editability staleness,3,truth_and_fact,1,provenance,staleness,1,0.3333333333333333,False,temporal_projection|truth,temporal_projection.decay_and_currency|truth.verification,2,2,2,0,temporal_projection|truth,,provenance|staleness,False
and staleness handling,2,CONTROL,S5,trigrams,staleness handling,2,,0,,staleness,1,0.5,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,staleness,False
that preserves fresh,2,CONTROL,S5,trigrams,preserves fresh,2,,0,,,0,0.0,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,fresh,False
staleness handling to,2,CONTROL,S5,trigrams,staleness handling,2,,0,,staleness,1,0.5,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,staleness,False
staleness conflict checks,2,CONTROL,S5,trigrams,staleness conflict checks,3,,0,,staleness,1,0.3333333333333333,False,surfacing|temporal_projection|truth,surfacing.tension_exposure|temporal_projection.decay_and_currency|truth.verification,3,3,2,1,temporal_projection|truth,surfacing,checks|conflict|staleness,False
fresh eyes notebook,2,CONTROL,S5,trigrams,fresh eyes notebook,3,,0,,fresh eyes,1,0.6666666666666666,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,fresh,False
staleness risk unless,2,HYBRID_3_5,S5,trigrams,staleness risk unless,3,practicality_and_feasibility,1,risk,staleness,1,0.3333333333333333,False,conditions|temporal_projection|warning,conditions|temporal_projection.decay_and_currency|warning,3,3,1,2,temporal_projection,conditions|warning,risk|staleness|unless,False
decay version proximity,2,HYBRID_3_5,S5,trigrams,decay version proximity,3,temporal_dynamics,1,decay,,0,0.0,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,decay,False
fresh eyes default,2,HYBRID_3_5,S5,trigrams,fresh eyes default,3,,0,,fresh eyes,1,0.6666666666666666,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,fresh,False
provide fresh eyes,2,HYBRID_3_5,S5,trigrams,provide fresh eyes,3,,0,,fresh eyes,1,0.6666666666666666,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,fresh,False
irrelevant outdated never,3,HYBRID_SEMANTIC,S5,trigrams,irrelevant outdated never,3,temporal_dynamics,1,outdated,,0,0.0,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,outdated,False
outdated never use,3,HYBRID_SEMANTIC,S5,trigrams,outdated never use,3,temporal_dynamics,1,outdated,,0,0.0,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,outdated,False
can expire unless,2,HYBRID_SEMANTIC,S5,trigrams,expire unless,2,temporal_dynamics,1,expire,,0,0.0,False,conditions|temporal_projection,conditions|temporal_projection.decay_and_currency,2,2,1,1,temporal_projection,conditions,expire|unless,False
expire unless reaffirmed,2,HYBRID_SEMANTIC,S5,trigrams,expire unless reaffirmed,3,temporal_dynamics,1,expire,,0,0.0,False,conditions|temporal_projection,conditions|temporal_projection.decay_and_currency,2,2,1,1,temporal_projection,conditions,expire|unless,False
fresh eyes constraints,2,HYBRID_SEMANTIC,S5,trigrams,fresh eyes constraints,3,practicality_and_feasibility,1,constraints,fresh eyes,1,0.6666666666666666,False,practical_considerations_and_execution|temporal_projection,practical_considerations_and_execution.constraints_and_tradeoffs|temporal_projection.decay_and_currency,2,2,2,0,practical_considerations_and_execution|temporal_projection,,constrain|constraints|fresh,False
one click fresh,2,HYBRID_SEMANTIC,S5,trigrams,one click fresh,3,,0,,,0,0.0,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,fresh,False
click fresh eyes,2,HYBRID_SEMANTIC,S5,trigrams,click fresh eyes,3,,0,,fresh eyes,1,0.6666666666666666,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,fresh,False
make staleness visible,2,HYBRID_SEMANTIC,S5,trigrams,make staleness visible,3,,0,,staleness,1,0.3333333333333333,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,staleness,False
