ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy,expression_groups,expression_first_class,expression_group_count,expression_first_class_count,layer_a_count,layer_b_count,layer_a_groups,layer_b_groups,matched_expression_terms,unclassified
shielding prototype validated evt,2,AC15,S3,quadgrams,shielding prototype validated evt,4,imagination_and_possibility,1,prototype,shielding,1,0.25,False,imagination_and_possibility|truth,imagination_and_possibility.exploration_within_bounds|imagination_and_possibility.path_toward_feasibility|truth.verification,2,3,2,0,imagination_and_possibility|truth,,prototype|validat|validated,False
prototype validated evt dvt,2,AC15,S3,quadgrams,prototype validated evt dvt,4,imagination_and_possibility,1,prototype,,0,0.0,False,imagination_and_possibility|truth,imagination_and_possibility.exploration_within_bounds|imagination_and_possibility.path_toward_feasibility|truth.verification,2,3,2,0,imagination_and_possibility|truth,,prototype|validat|validated,False
paid pilot limited availability,2,AC15P,S3,quadgrams,paid pilot limited availability,4,imagination_and_possibility,1,pilot,,0,0.0,False,imagination_and_possibility|practical_considerations_and_execution,imagination_and_possibility.path_toward_feasibility|practical_considerations_and_execution.constraints_and_tradeoffs,2,2,2,0,imagination_and_possibility|practical_considerations_and_execution,,limited|pilot,False
pilot la until rev,2,AC15P,S3,quadgrams,pilot la until rev,4,imagination_and_possibility,1,pilot,,0,0.0,False,imagination_and_possibility,imagination_and_possibility.path_toward_feasibility,1,1,1,0,imagination_and_possibility,,pilot,False
mining as paid pilot,2,AC15P,S3,quadgrams,mining paid pilot,3,imagination_and_possibility,1,pilot,mining,1,0.3333333333333333,False,imagination_and_possibility,imagination_and_possibility.path_toward_feasibility,1,1,1,0,imagination_and_possibility,,pilot,False
commercial pilot limited availability,2,HYBRID_3_5,S3,quadgrams,commercial pilot limited availability,4,imagination_and_possibility,1,pilot,,0,0.0,False,imagination_and_possibility|practical_considerations_and_execution,imagination_and_possibility.path_toward_feasibility|practical_considerations_and_execution.constraints_and_tradeoffs,2,2,2,0,imagination_and_possibility|practical_considerations_and_execution,,limited|pilot,False
a pilot acceptance phase,3,HYBRID_SEMANTIC,S3,quadgrams,pilot acceptance phase,3,temporal_dynamics|imagination_and_possibility,2,phase|pilot,,0,0.0,False,imagination_and_possibility|temporal_projection,imagination_and_possibility.path_toward_feasibility|temporal_projection.change_and_rate,2,2,2,0,imagination_and_possibility|temporal_projection,,phas|phase|pilot,False
early access production pilot,3,HYBRID_SEMANTIC,S3,quadgrams,early access production pilot,4,imagination_and_possibility,1,pilot,early access,1,0.5,False,imagination_and_possibility|temporal_projection,imagination_and_possibility.path_toward_feasibility|temporal_projection.time_horizons,2,2,2,0,imagination_and_possibility|temporal_projection,,early|pilot,False
pilot acceptance phase with,2,HYBRID_SEMANTIC,S3,quadgrams,pilot acceptance phase,3,temporal_dynamics|imagination_and_possibility,2,phase|pilot,,0,0.0,False,imagination_and_possibility|temporal_projection,imagination_and_possibility.path_toward_feasibility|temporal_projection.change_and_rate,2,2,2,0,imagination_and_possibility|temporal_projection,,phas|phase|pilot,False
contract into a pilot,2,HYBRID_SEMANTIC,S3,quadgrams,contract pilot,2,imagination_and_possibility,1,pilot,,0,0.0,False,imagination_and_possibility,imagination_and_possibility.path_toward_feasibility,1,1,1,0,imagination_and_possibility,,pilot,False
paid production pilot in,2,HYBRID_SEMANTIC,S3,quadgrams,paid production pilot,3,imagination_and_possibility,1,pilot,,0,0.0,False,imagination_and_possibility,imagination_and_possibility.path_toward_feasibility,1,1,1,0,imagination_and_possibility,,pilot,False
production pilot in qualified,2,HYBRID_SEMANTIC,S3,quadgrams,production pilot qualified,3,imagination_and_possibility,1,pilot,,0,0.0,False,imagination_and_possibility,imagination_and_possibility.path_toward_feasibility,1,1,1,0,imagination_and_possibility,,pilot,False
pilot in qualified corridors,2,HYBRID_SEMANTIC,S3,quadgrams,pilot qualified corridors,3,imagination_and_possibility,1,pilot,,0,0.0,False,imagination_and_possibility,imagination_and_possibility.path_toward_feasibility,1,1,1,0,imagination_and_possibility,,pilot,False
pilot terms caps exclusions,2,HYBRID_SEMANTIC,S3,quadgrams,pilot terms caps exclusions,4,imagination_and_possibility,1,pilot,,0,0.0,False,imagination_and_possibility,imagination_and_possibility.path_toward_feasibility,1,1,1,0,imagination_and_possibility,,pilot,False
a paid production pilot,2,HYBRID_SEMANTIC,S3,quadgrams,paid production pilot,3,imagination_and_possibility,1,pilot,,0,0.0,False,imagination_and_possibility,imagination_and_possibility.path_toward_feasibility,1,1,1,0,imagination_and_possibility,,pilot,False
you have a viable,2,HYBRID_SEMANTIC,S3,quadgrams,have viable,2,,0,,,0,0.0,False,imagination_and_possibility|practical_considerations_and_execution,imagination_and_possibility.path_toward_feasibility|practical_considerations_and_execution.constraints_and_tradeoffs,2,2,2,0,imagination_and_possibility|practical_considerations_and_execution,,viable,False
