ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy,expression_groups,expression_first_class,expression_group_count,expression_first_class_count,layer_a_count,layer_b_count,layer_a_groups,layer_b_groups,matched_expression_terms,unclassified
one click mark outdated,4,AC15,S5,quadgrams,one click mark outdated,4,temporal_dynamics,1,outdated,,0,0.0,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,outdated,False
click mark outdated supersede,3,AC15,S5,quadgrams,click mark outdated supersede,4,temporal_dynamics,1,outdated,,0,0.0,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,outdated,False
active superseded deprecated created_at,3,AC15,S5,quadgrams,active superseded deprecated created_at,4,temporal_dynamics,1,deprecat,deprecated,1,0.25,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,deprecat|deprecated,False
superseded deprecated created_at last_confirmed_at,3,AC15,S5,quadgrams,superseded deprecated created_at last_confirmed_at,4,temporal_dynamics,1,deprecat,deprecated,1,0.25,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,deprecat|deprecated,False
deprecated created_at last_confirmed_at confidence,3,AC15,S5,quadgrams,deprecated created_at last_confirmed_at confidence,4,temporal_dynamics,1,deprecat,deprecated,1,0.25,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,deprecat|deprecated,False
as decaying cited evidence,2,AC15,S5,quadgrams,decaying cited evidence,3,truth_and_fact|temporal_dynamics,2,decaying|evidence,,0,0.0,False,temporal_projection|truth,temporal_projection.decay_and_currency|truth.verification,2,2,2,0,temporal_projection|truth,,decaying|evidence,False
outdated don t use,2,AC15,S5,quadgrams,outdated use,2,temporal_dynamics,1,outdated,,0,0.0,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,outdated,False
fresh eyes mode so,2,AC15,S5,quadgrams,fresh eyes mode,3,,0,,fresh eyes,1,0.6666666666666666,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,fresh,False
fresh eyes escape hatch,2,AC15,S5,quadgrams,fresh eyes escape hatch,4,,0,,fresh eyes,1,0.5,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,fresh,False
accepted superseded deprecated needs,3,AC15P,S5,quadgrams,accepted superseded deprecated needs,4,temporal_dynamics,1,deprecat,deprecated,1,0.25,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,deprecat|deprecated,False
superseded deprecated needs review,3,AC15P,S5,quadgrams,superseded deprecated needs review,4,temporal_dynamics,1,deprecat,deprecated,1,0.25,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,deprecat|deprecated,False
draft accepted superseded deprecated,3,AC15P,S5,quadgrams,draft accepted superseded deprecated,4,temporal_dynamics,1,deprecat,deprecated,1,0.25,False,imagination_and_possibility|temporal_projection,imagination_and_possibility.exploration_within_bounds|temporal_projection.decay_and_currency,2,2,2,0,imagination_and_possibility|temporal_projection,,deprecat|deprecated|draft,False
becomes stale if the,2,AC15P,S5,quadgrams,becomes stale,2,,0,,stale,1,0.5,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,stale,False
visible fresh eyes vs,2,AC15P,S5,quadgrams,visible fresh eyes vs,4,,0,,fresh eyes,1,0.5,False,temporal_projection,temporal_projection.decay_and_currency,1,1,1,0,temporal_projection,,fresh,False
