ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy,expression_groups,expression_first_class,expression_group_count,expression_first_class_count,layer_a_count,layer_b_count,layer_a_groups,layer_b_groups,matched_expression_terms,unclassified
opex is bounded,2,AC15,S1,trigrams,opex bounded,2,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,bounded,False
under your constraints,3,AC15P,S1,trigrams,under constraints,2,practicality_and_feasibility,1,constraints,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,constrain|constraints,False
week award constraint,2,AC15P,S1,trigrams,week award constraint,3,practicality_and_feasibility,1,constraint,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,constrain|constraint,False
services incident adaptive,2,CONTROL,S1,trigrams,services incident adaptive,3,temporal_dynamics,1,adaptive,adaptive,1,0.3333333333333333,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,adapt,False
exception path practical,2,CONTROL,S1,trigrams,exception path practical,3,practicality_and_feasibility,1,practical,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,practical,False
constraints dot it,2,CONTROL,S1,trigrams,constraints dot,2,practicality_and_feasibility,1,constraints,dot,1,0.5,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,constrain|constraints,False
the main constraint,2,HYBRID_3_5,S1,trigrams,main constraint,2,practicality_and_feasibility,1,constraint,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,constrain|constraint,False
if technically feasible,2,HYBRID_3_5,S1,trigrams,technically feasible,2,practicality_and_feasibility,1,feasible,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,feasible,False
viable alternative only,2,HYBRID_SEMANTIC,S1,trigrams,viable alternative,2,imagination_and_possibility,1,alternative,,0,0.0,False,imagination_and_possibility|practical_considerations_and_execution,imagination_and_possibility.exploration_within_bounds|imagination_and_possibility.path_toward_feasibility|practical_considerations_and_execution.constraints_and_tradeoffs,2,3,2,0,imagination_and_possibility|practical_considerations_and_execution,,alternative|viable|viable alternative,False
constrained contractually novagrid,2,HYBRID_SEMANTIC,S1,trigrams,constrained contractually novagrid,3,practicality_and_feasibility,1,constrained,novagrid,1,0.3333333333333333,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,constrain|constrained,False
incident adaptive features,2,HYBRID_SEMANTIC,S1,trigrams,incident adaptive features,3,temporal_dynamics,1,adaptive,adaptive,1,0.3333333333333333,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,adapt,False
cpi bound or,2,HYBRID_SEMANTIC,S1,trigrams,cpi bound,2,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,bound,False
bound or fixed,2,HYBRID_SEMANTIC,S1,trigrams,bound fixed,2,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,bound,False
written time bounded,2,HYBRID_SEMANTIC,S1,trigrams,written time bounded,3,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs,1,1,1,0,practical_considerations_and_execution,,bounded,False
