scenario,level,system,expression_group_layer,row_count,sum_count
S1,trigrams,AC15,constraint_aligned,48,103
S1,trigrams,AC15,cross_cutting,14,32
S1,trigrams,AC15P,constraint_aligned,54,115
S1,trigrams,AC15P,cross_cutting,15,35
S1,trigrams,CONTROL,constraint_aligned,32,78
S1,trigrams,CONTROL,cross_cutting,17,48
S1,trigrams,HYBRID_3_5,constraint_aligned,48,105
S1,trigrams,HYBRID_3_5,cross_cutting,17,38
S1,trigrams,HYBRID_SEMANTIC,constraint_aligned,66,147
S1,trigrams,HYBRID_SEMANTIC,cross_cutting,11,26
S3,trigrams,AC15,constraint_aligned,40,81
S3,trigrams,AC15,cross_cutting,7,14
S3,trigrams,AC15P,constraint_aligned,61,129
S3,trigrams,AC15P,cross_cutting,21,46
S3,trigrams,CONTROL,constraint_aligned,23,50
S3,trigrams,CONTROL,cross_cutting,20,46
S3,trigrams,HYBRID_3_5,constraint_aligned,42,89
S3,trigrams,HYBRID_3_5,cross_cutting,20,62
S3,trigrams,HYBRID_SEMANTIC,constraint_aligned,61,143
S3,trigrams,HYBRID_SEMANTIC,cross_cutting,13,29
S5,trigrams,AC15,constraint_aligned,50,109
S5,trigrams,AC15,cross_cutting,10,20
S5,trigrams,AC15P,constraint_aligned,50,128
S5,trigrams,AC15P,cross_cutting,17,36
S5,trigrams,CONTROL,constraint_aligned,33,80
S5,trigrams,CONTROL,cross_cutting,16,35
S5,trigrams,HYBRID_3_5,constraint_aligned,29,63
S5,trigrams,HYBRID_3_5,cross_cutting,9,18
S5,trigrams,HYBRID_SEMANTIC,constraint_aligned,33,70
S5,trigrams,HYBRID_SEMANTIC,cross_cutting,20,40
S7,trigrams,AC15,constraint_aligned,30,64
S7,trigrams,AC15,cross_cutting,22,47
S7,trigrams,AC15P,constraint_aligned,40,85
S7,trigrams,AC15P,cross_cutting,18,37
S7,trigrams,CONTROL,constraint_aligned,15,31
S7,trigrams,CONTROL,cross_cutting,13,28
S7,trigrams,HYBRID_3_5,constraint_aligned,20,42
S7,trigrams,HYBRID_3_5,cross_cutting,22,48
S7,trigrams,HYBRID_SEMANTIC,constraint_aligned,28,56
S7,trigrams,HYBRID_SEMANTIC,cross_cutting,26,60
S1,quadgrams,AC15,constraint_aligned,29,62
S1,quadgrams,AC15,cross_cutting,10,24
S1,quadgrams,AC15P,constraint_aligned,41,90
S1,quadgrams,AC15P,cross_cutting,12,31
S1,quadgrams,CONTROL,constraint_aligned,25,55
S1,quadgrams,CONTROL,cross_cutting,15,42
S1,quadgrams,HYBRID_3_5,constraint_aligned,38,81
S1,quadgrams,HYBRID_3_5,cross_cutting,16,37
S1,quadgrams,HYBRID_SEMANTIC,constraint_aligned,56,120
S1,quadgrams,HYBRID_SEMANTIC,cross_cutting,9,19
S3,quadgrams,AC15,constraint_aligned,27,54
S3,quadgrams,AC15,cross_cutting,4,8
S3,quadgrams,AC15P,constraint_aligned,31,65
S3,quadgrams,AC15P,cross_cutting,15,32
S3,quadgrams,CONTROL,constraint_aligned,21,43
S3,quadgrams,CONTROL,cross_cutting,16,35
S3,quadgrams,HYBRID_3_5,constraint_aligned,27,58
S3,quadgrams,HYBRID_3_5,cross_cutting,15,44
S3,quadgrams,HYBRID_SEMANTIC,constraint_aligned,34,74
S3,quadgrams,HYBRID_SEMANTIC,cross_cutting,11,23
S5,quadgrams,AC15,constraint_aligned,36,79
S5,quadgrams,AC15,cross_cutting,8,16
S5,quadgrams,AC15P,constraint_aligned,33,78
S5,quadgrams,AC15P,cross_cutting,12,24
S5,quadgrams,CONTROL,constraint_aligned,15,40
S5,quadgrams,CONTROL,cross_cutting,8,16
S5,quadgrams,HYBRID_3_5,constraint_aligned,26,56
S5,quadgrams,HYBRID_3_5,cross_cutting,12,25
S5,quadgrams,HYBRID_SEMANTIC,constraint_aligned,27,58
S5,quadgrams,HYBRID_SEMANTIC,cross_cutting,15,30
S7,quadgrams,AC15,constraint_aligned,23,47
S7,quadgrams,AC15,cross_cutting,19,39
S7,quadgrams,AC15P,constraint_aligned,25,54
S7,quadgrams,AC15P,cross_cutting,18,44
S7,quadgrams,CONTROL,constraint_aligned,10,20
S7,quadgrams,CONTROL,cross_cutting,15,31
S7,quadgrams,HYBRID_3_5,constraint_aligned,10,20
S7,quadgrams,HYBRID_3_5,cross_cutting,18,44
S7,quadgrams,HYBRID_SEMANTIC,constraint_aligned,23,46
S7,quadgrams,HYBRID_SEMANTIC,cross_cutting,21,49
