level,system,expression_group_layer,expression_group,expression_subgroup,ngram,total_count,row_occurrences,scenario_count,scenarios,matched_constraints,scenario_heavy_hits
quadgrams,AC15,cross_cutting,autonomy_sovereignty,single_word_markers,choosing you seriously and,2,1,1,S7,,0
quadgrams,AC15,cross_cutting,conditions,main,citizenship and whether you,2,1,1,S7,,0
quadgrams,AC15,cross_cutting,conditions,main,g days unless promoted,2,1,1,S5,,0
quadgrams,AC15,cross_cutting,conditions,main,your citizenship and whether,2,1,1,S7,,0
quadgrams,AC15,cross_cutting,hedging,multi_word_patterns,motivations could be love,2,1,1,S7,,0
quadgrams,AC15,cross_cutting,hedging,multi_word_patterns,tends to sound like,2,1,1,S7,,0
quadgrams,AC15,cross_cutting,hedging,multi_word_patterns,this kind of urgency,2,1,1,S7,,0
quadgrams,AC15,cross_cutting,hedging,single_word_markers,motivations could be love,2,1,1,S7,,0
quadgrams,AC15,cross_cutting,hedging,single_word_markers,of these become likely,2,1,1,S3,,0
quadgrams,AC15,cross_cutting,hedging,single_word_markers,performers tend to stay,2,1,1,S7,,0
quadgrams,AC15,cross_cutting,hedging,single_word_markers,re statistically likely to,2,1,1,S3,,0
quadgrams,AC15,cross_cutting,hedging,single_word_markers,standard controllers typically mean,2,1,1,S1,,0
quadgrams,AC15,cross_cutting,hedging,single_word_markers,tends to sound like,2,1,1,S7,,0
quadgrams,AC15,cross_cutting,hedging,single_word_markers,this kind of urgency,2,1,1,S7,,0
quadgrams,AC15,cross_cutting,hedging,single_word_markers,you re statistically likely,2,1,1,S3,,0
quadgrams,AC15,cross_cutting,hedging,single_word_markers,your situation that typically,2,1,1,S7,,0
quadgrams,AC15,constraint_aligned,imagination_and_possibility,exploration_within_bounds,prototype validated evt dvt,2,1,1,S3,imagination_and_possibility,0
quadgrams,AC15,constraint_aligned,imagination_and_possibility,exploration_within_bounds,shielding prototype validated evt,2,1,1,S3,imagination_and_possibility,0
quadgrams,AC15,constraint_aligned,imagination_and_possibility,path_toward_feasibility,prototype validated evt dvt,2,1,1,S3,imagination_and_possibility,0
quadgrams,AC15,constraint_aligned,imagination_and_possibility,path_toward_feasibility,shielding prototype validated evt,2,1,1,S3,imagination_and_possibility,0
quadgrams,AC15,constraint_aligned,imagination_and_possibility,tension_as_fuel,plan so neither of,2,1,1,S7,,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,action_and_execution,active superseded deprecated created_at,3,1,1,S5,temporal_dynamics,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,action_and_execution,deprecated created_at last_confirmed_at confidence,3,1,1,S5,temporal_dynamics;truth_and_fact,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,action_and_execution,superseded deprecated created_at last_confirmed_at,3,1,1,S5,temporal_dynamics;truth_and_fact,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,action_and_execution,a phased start and,2,1,1,S1,temporal_dynamics,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,action_and_execution,aging health plan partner,2,1,1,S7,,1
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,action_and_execution,can restructure the launch,2,1,1,S3,,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,action_and_execution,constrained launch parallel hardware,2,1,1,S3,practicality_and_feasibility,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,action_and_execution,continuum is implemented as,2,1,1,S5,,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,action_and_execution,created_at last_confirmed_at confidence user,2,1,1,S5,truth_and_fact,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,action_and_execution,de risked execution not,2,1,1,S3,practicality_and_feasibility,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,action_and_execution,do not ship remember,2,1,1,S5,,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,action_and_execution,don t ship everything,2,1,1,S7,,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,action_and_execution,even if you launch,2,1,1,S3,,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,action_and_execution,health plan partner not,2,1,1,S7,,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,action_and_execution,i want to plan,2,1,1,S7,,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,decision constraint convention confirmedfix,3,1,1,S5,practicality_and_feasibility,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,a clearly bounded operating,2,1,1,S3,,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,bound the failure mode,2,1,1,S3,,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,bounded operating envelope with,2,1,1,S3,,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,brief decisions constraints conventions,2,1,1,S5,practicality_and_feasibility,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,clearly bounded operating envelope,2,1,1,S3,,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,code prompt constraints only,2,1,1,S5,practicality_and_feasibility,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,constrained launch parallel hardware,2,1,1,S3,practicality_and_feasibility,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,constraints conventions confirmed fixes,2,1,1,S5,practicality_and_feasibility;truth_and_fact,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,exclusions for known limitations,2,1,1,S3,,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,practical benefits are delayed,2,1,1,S7,practicality_and_feasibility,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,procedural controls software constraints,2,1,1,S3,practicality_and_feasibility,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,project brief decisions constraints,2,1,1,S5,practicality_and_feasibility,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,records decision constraint convention,2,1,1,S5,practicality_and_feasibility,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,typed records decision constraint,2,1,1,S5,practicality_and_feasibility,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,friction_and_blockers,fewest external blockers civitas,2,1,1,S1,practicality_and_feasibility,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,timeline and required controls,3,1,1,S1,practicality_and_feasibility;temporal_dynamics,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,civitas modular mitigates the,2,1,1,S1,,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,cost and complexity that,2,1,1,S1,practicality_and_feasibility,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,cost if you tell,2,1,1,S7,practicality_and_feasibility,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,cost to maintain the,2,1,1,S1,practicality_and_feasibility,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,definition and penalty schedule,2,1,1,S3,practicality_and_feasibility,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,dependent on her or,2,1,1,S7,,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,maintenance cost reduction vs,2,1,1,S1,practicality_and_feasibility,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,on schedule if novagrid,2,1,1,S1,practicality_and_feasibility,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,runtime detection proactive mitigation,2,1,1,S3,practicality_and_feasibility,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,schedule exhibit with long,2,1,1,S1,practicality_and_feasibility,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,schedule if novagrid can,2,1,1,S1,practicality_and_feasibility,0
