phrase,control_count,anchored_avg,ratio
keep your home base,11,4.5,2.4444444444444446
what did we try,7,3.5,2.0
conventions constraints system map,7,0.0,999.0
dot waiver week review,7,1.5,4.666666666666667
controller lead time risk,6,1.5,4.0
what to verify now,6,0.5,12.0
can turn this into,6,3.0,2.0
i can turn this,6,3.0,2.0
for the hardware fix,6,2.25,2.6666666666666665
want i can turn,6,3.0,2.0
essential infrastructure cloud exception,6,0.5,12.0
dot threshold automatically and,6,0.0,999.0
decisions conventions constraints system,6,0.0,999.0
delay for the hardware,6,2.0,3.0
how it could bite,6,0.0,999.0
industry standard controllers and,5,1.5,3.3333333333333335
change of control protections,5,2.5,2.0
keeping your home base,5,0.25,20.0
into a one page,5,2.25,2.2222222222222223
you may be underestimating,5,1.25,4.0
interference zones can shift,5,1.5,3.3333333333333335
this into a one,5,1.75,2.857142857142857
in high interference zones,5,1.25,4.0
civitas meets dot threshold,4,0.25,16.0
long term o m,4,0.0,999.0
emergency services isn t,4,0.0,999.0
state dot waiver week,4,0.0,999.0
o m cost predictability,4,0.0,999.0
systems modular architecture option,4,1.0,4.0
civitas systems modular architecture,4,1.0,4.0
to reduce lock in,4,0.25,16.0
year maintenance price lock,4,1.25,3.2
readily available standard controllers,4,0.25,16.0
uses industry standard controllers,4,1.75,2.2857142857142856
the essential infrastructure cloud,4,2.0,2.0
the week proprietary controller,4,0.75,5.333333333333333
it could bite you,4,0.0,999.0
proposal a as stated,4,0.75,5.333333333333333
tell me what you,4,1.75,2.2857142857142856
at the same time,4,2.0,2.0
the controller lead time,4,0.0,999.0
meets dot threshold automatically,4,0.75,5.333333333333333
descend where you are,4,0.5,8.0
service credits vs cash,4,0.25,16.0
at the service level,4,1.0,4.0
i ll tell you,4,0.75,5.333333333333333
don t rely on,4,0.5,8.0
redundancy spares hot swap,4,0.0,999.0
the minute re brief,4,0.75,5.333333333333333
what happens if you,4,2.0,2.0
where you d live,4,1.5,2.6666666666666665
the country and whether,4,1.75,2.2857142857142856
for both of you,4,2.0,2.0
