ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy,expression_groups,expression_first_class,expression_group_count,expression_first_class_count,layer_a_count,layer_b_count,layer_a_groups,layer_b_groups,matched_expression_terms,unclassified
layer a authoritative project,3,AC15,S5,quadgrams,layer authoritative project,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
a authoritative project memory,3,AC15,S5,quadgrams,authoritative project memory,3,,0,,memory|project memory,2,0.6666666666666666,False,,,0,0,0,0,,,,True
confidence user approved vs,3,AC15,S5,quadgrams,confidence user approved vs,4,,0,,,0,0.0,False,,,0,0,0,0,,,,True
ttl e g days,3,AC15,S5,quadgrams,ttl e g days,4,,0,,,0,0.0,False,,,0,0,0,0,,,,True
approval for high impact,3,AC15,S5,quadgrams,approval high impact,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
for high impact items,3,AC15,S5,quadgrams,high impact items,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
link to adr pr,3,AC15,S5,quadgrams,link adr pr,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
authoritative project memory apm,3,AC15,S5,quadgrams,authoritative project memory apm,4,,0,,memory|project memory,2,0.5,False,,,0,0,0,0,,,,True
continuity but make it,2,AC15,S5,quadgrams,continuity make,2,temporal_dynamics,1,continuity,continuity,1,0.5,False,,,0,0,0,0,,,,True
convention patterns error handling,2,AC15,S5,quadgrams,convention patterns error handling,4,,0,,,0,0.0,False,,,0,0,0,0,,,,True
patterns error handling logging,2,AC15,S5,quadgrams,patterns error handling logging,4,,0,,,0,0.0,False,,,0,0,0,0,,,,True
repo service module status,2,AC15,S5,quadgrams,repo service module status,4,,0,,,0,0.0,False,,,0,0,0,0,,,,True
service module status active,2,AC15,S5,quadgrams,service module status active,4,,0,,,0,0.0,False,,,0,0,0,0,,,,True
module status active superseded,2,AC15,S5,quadgrams,module status active superseded,4,,0,,,0,0.0,False,,,0,0,0,0,,,,True
created_at last_confirmed_at confidence user,2,AC15,S5,quadgrams,created_at last_confirmed_at confidence user,4,,0,,,0,0.0,False,,,0,0,0,0,,,,True
last_confirmed_at confidence user approved,2,AC15,S5,quadgrams,last_confirmed_at confidence user approved,4,,0,,,0,0.0,False,,,0,0,0,0,,,,True
is the senior colleague,2,AC15,S5,quadgrams,senior colleague,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
something like score relevance,2,AC15,S5,quadgrams,something like score relevance,4,,0,,,0,0.0,False,,,0,0,0,0,,,,True
for high impact types,2,AC15,S5,quadgrams,high impact types,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
as governed time aware,2,AC15,S5,quadgrams,governed time aware,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
governed time aware user,2,AC15,S5,quadgrams,governed time aware user,4,,0,,,0,0.0,False,,,0,0,0,0,,,,True
time aware user auditable,2,AC15,S5,quadgrams,time aware user auditable,4,,0,,,0,0.0,False,,,0,0,0,0,,,,True
can be versioned superseded,2,AC15,S5,quadgrams,versioned superseded,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
or the model detects,2,AC15,S5,quadgrams,model detects,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
a project brief authoritative,2,AC15,S5,quadgrams,project brief authoritative,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
links to adrs runbooks,2,AC15,S5,quadgrams,links adrs runbooks,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
policy auto approves low,2,AC15,S5,quadgrams,policy auto approves low,4,,0,,,0,0.0,False,,,0,0,0,0,,,,True
if memory re injection,2,AC15,S5,quadgrams,memory injection,2,,0,,memory,1,0.5,False,,,0,0,0,0,,,,True
memory re injection is,2,AC15,S5,quadgrams,memory injection,2,,0,,memory,1,0.5,False,,,0,0,0,0,,,,True
a single free text,2,AC15,S5,quadgrams,single free text,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
single free text blob,2,AC15,S5,quadgrams,single free text blob,4,,0,,,0,0.0,False,,,0,0,0,0,,,,True
user approval for high,2,AC15,S5,quadgrams,user approval high,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
authoritative memory structured summaries,2,AC15,S5,quadgrams,authoritative memory structured summaries,4,,0,,memory|summaries,2,0.5,False,,,0,0,0,0,,,,True
scoped time stamped vector,2,AC15,S5,quadgrams,scoped time stamped vector,4,,0,,vector,1,0.25,False,,,0,0,0,0,,,,True
