level,system,expression_group_layer,expression_group,ngram,total_count,row_occurrences,scenario_count,scenarios,matched_constraints,scenario_heavy_hits
quadgrams,AC15,cross_cutting,autonomy_sovereignty,choosing you seriously and,2,1,1,S7,,0
quadgrams,AC15,cross_cutting,conditions,citizenship and whether you,2,1,1,S7,,0
quadgrams,AC15,cross_cutting,conditions,g days unless promoted,2,1,1,S5,,0
quadgrams,AC15,cross_cutting,conditions,your citizenship and whether,2,1,1,S7,,0
quadgrams,AC15,cross_cutting,hedging,motivations could be love,2,1,1,S7,,0
quadgrams,AC15,cross_cutting,hedging,of these become likely,2,1,1,S3,,0
quadgrams,AC15,cross_cutting,hedging,performers tend to stay,2,1,1,S7,,0
quadgrams,AC15,cross_cutting,hedging,re statistically likely to,2,1,1,S3,,0
quadgrams,AC15,cross_cutting,hedging,standard controllers typically mean,2,1,1,S1,,0
quadgrams,AC15,cross_cutting,hedging,tends to sound like,2,1,1,S7,,0
quadgrams,AC15,cross_cutting,hedging,this kind of urgency,2,1,1,S7,,0
quadgrams,AC15,cross_cutting,hedging,you re statistically likely,2,1,1,S3,,0
quadgrams,AC15,cross_cutting,hedging,your situation that typically,2,1,1,S7,,0
quadgrams,AC15,constraint_aligned,imagination_and_possibility,plan so neither of,2,1,1,S7,,0
quadgrams,AC15,constraint_aligned,imagination_and_possibility,prototype validated evt dvt,2,1,1,S3,imagination_and_possibility,0
quadgrams,AC15,constraint_aligned,imagination_and_possibility,shielding prototype validated evt,2,1,1,S3,imagination_and_possibility,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,active superseded deprecated created_at,3,1,1,S5,temporal_dynamics,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,decision constraint convention confirmedfix,3,1,1,S5,practicality_and_feasibility,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,deprecated created_at last_confirmed_at confidence,3,1,1,S5,temporal_dynamics;truth_and_fact,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,superseded deprecated created_at last_confirmed_at,3,1,1,S5,temporal_dynamics;truth_and_fact,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,timeline and required controls,3,1,1,S1,practicality_and_feasibility;temporal_dynamics,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,a clearly bounded operating,2,1,1,S3,,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,a phased start and,2,1,1,S1,temporal_dynamics,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,bound the failure mode,2,1,1,S3,,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,bounded operating envelope with,2,1,1,S3,,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,brief decisions constraints conventions,2,1,1,S5,practicality_and_feasibility,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,can restructure the launch,2,1,1,S3,,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,civitas modular mitigates the,2,1,1,S1,,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,clearly bounded operating envelope,2,1,1,S3,,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,code prompt constraints only,2,1,1,S5,practicality_and_feasibility,0
quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,constrained launch parallel hardware,2,1,1,S3,practicality_and_feasibility,0
