ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy,expression_groups,expression_first_class,expression_group_count,expression_first_class_count,layer_a_count,layer_b_count,layer_a_groups,layer_b_groups,matched_expression_terms,unclassified
the near term,2,AC15,S3,trigrams,near term,2,temporal_dynamics,1,near term,,0,0.0,False,temporal_projection,temporal_projection.time_horizons,1,1,1,0,temporal_projection,,near term,False
market window without,2,AC15,S3,trigrams,market window without,3,temporal_dynamics,1,window,,0,0.0,False,temporal_projection,temporal_projection.time_horizons,1,1,1,0,temporal_projection,,window,False
window without sacrificing,2,AC15,S3,trigrams,window without sacrificing,3,temporal_dynamics,1,window,,0,0.0,False,temporal_projection,temporal_projection.time_horizons,1,1,1,0,temporal_projection,,window,False
detect early enough,2,AC15,S3,trigrams,detect early enough,3,,0,,,0,0.0,False,temporal_projection,temporal_projection.time_horizons,1,1,1,0,temporal_projection,,early,False
limited availability early,4,AC15P,S3,trigrams,limited availability early,3,,0,,,0,0.0,False,practical_considerations_and_execution|temporal_projection,practical_considerations_and_execution.constraints_and_tradeoffs|temporal_projection.time_horizons,2,2,2,0,practical_considerations_and_execution|temporal_projection,,early|limited,False
availability early access,4,AC15P,S3,trigrams,availability early access,3,,0,,early access,1,0.6666666666666666,False,temporal_projection,temporal_projection.time_horizons,1,1,1,0,temporal_projection,,early,False
short term but,2,AC15P,S3,trigrams,short term,2,temporal_dynamics,1,short term,,0,0.0,False,temporal_projection,temporal_projection.time_horizons,1,1,1,0,temporal_projection,,short term,False
risk if early,2,AC15P,S3,trigrams,risk early,2,practicality_and_feasibility,1,risk,,0,0.0,False,temporal_projection|warning,temporal_projection.time_horizons|warning,2,2,1,1,temporal_projection,warning,early|risk,False
series b later,2,AC15P,S3,trigrams,series b later,3,,0,,series b,1,0.6666666666666666,False,temporal_projection,temporal_projection.time_horizons,1,1,1,0,temporal_projection,,later,False
the early failure,2,AC15P,S3,trigrams,early failure,2,,0,,,0,0.0,False,temporal_projection,temporal_projection.time_horizons,1,1,1,0,temporal_projection,,early,False
early failure tax,2,AC15P,S3,trigrams,early failure tax,3,,0,,,0,0.0,False,temporal_projection,temporal_projection.time_horizons,1,1,1,0,temporal_projection,,early,False
constrained early access,2,CONTROL,S3,trigrams,constrained early access,3,practicality_and_feasibility,1,constrained,early access,1,0.6666666666666666,False,practical_considerations_and_execution|temporal_projection,practical_considerations_and_execution.constraints_and_tradeoffs|temporal_projection.time_horizons,2,2,2,0,practical_considerations_and_execution|temporal_projection,,constrain|constrained|early,False
during early access,4,HYBRID_3_5,S3,trigrams,during early access,3,,0,,early access,1,0.6666666666666666,False,temporal_projection,temporal_projection.time_horizons,1,1,1,0,temporal_projection,,early,False
near term mitigation,2,HYBRID_3_5,S3,trigrams,near term mitigation,3,practicality_and_feasibility|temporal_dynamics,2,near term|mitigation,,0,0.0,False,practical_considerations_and_execution|temporal_projection,practical_considerations_and_execution.resources_timing_conditions|temporal_projection.time_horizons,2,2,2,0,practical_considerations_and_execution|temporal_projection,,mitigat|mitigation|near term,False
for early deployments,2,HYBRID_3_5,S3,trigrams,early deployments,2,,0,,,0,0.0,False,temporal_projection,temporal_projection.time_horizons,1,1,1,0,temporal_projection,,early,False
in weeks then,2,HYBRID_3_5,S3,trigrams,weeks then,2,,0,,,0,0.0,False,temporal_projection,temporal_projection.time_horizons,1,1,1,0,temporal_projection,,in weeks,False
sign in weeks,2,HYBRID_3_5,S3,trigrams,sign weeks,2,,0,,,0,0.0,False,temporal_projection,temporal_projection.time_horizons,1,1,1,0,temporal_projection,,in weeks,False
eis early access,2,HYBRID_3_5,S3,trigrams,eis early access,3,,0,,early access,1,0.6666666666666666,False,temporal_projection,temporal_projection.time_horizons,1,1,1,0,temporal_projection,,early,False
for early units,3,HYBRID_SEMANTIC,S3,trigrams,early units,2,,0,,,0,0.0,False,temporal_projection,temporal_projection.time_horizons,1,1,1,0,temporal_projection,,early,False
early access production,3,HYBRID_SEMANTIC,S3,trigrams,early access production,3,,0,,early access,1,0.6666666666666666,False,temporal_projection,temporal_projection.time_horizons,1,1,1,0,temporal_projection,,early,False
policy for early,2,HYBRID_SEMANTIC,S3,trigrams,policy early,2,,0,,,0,0.0,False,temporal_projection,temporal_projection.time_horizons,1,1,1,0,temporal_projection,,early,False
controlled early access,2,HYBRID_SEMANTIC,S3,trigrams,controlled early access,3,,0,,early access,1,0.6666666666666666,False,temporal_projection,temporal_projection.time_horizons,1,1,1,0,temporal_projection,,early,False
