ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy,expression_groups,expression_first_class,expression_group_count,expression_first_class_count,layer_a_count,layer_b_count,layer_a_groups,layer_b_groups,matched_expression_terms,unclassified
controller substitution rights,5,AC15,S1,trigrams,controller substitution rights,3,,0,,controller,1,0.3333333333333333,False,,,0,0,0,0,,,,True
pre approved equivalents,4,AC15,S1,trigrams,pre approved equivalents,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
proprietary central components,4,AC15,S1,trigrams,proprietary central components,3,,0,,proprietary,1,0.3333333333333333,False,,,0,0,0,0,,,,True
those i can,4,AC15,S1,trigrams,those i,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
and controller procurement,3,AC15,S1,trigrams,controller procurement,2,,0,,controller|procurement,2,1.0,True,,,0,0,0,0,,,,True
and required controls,3,AC15,S1,trigrams,required controls,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
central wan degradation,3,AC15,S1,trigrams,central wan degradation,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
fee escalation cap,3,AC15,S1,trigrams,fee escalation cap,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
pre approved equivalent,3,AC15,S1,trigrams,pre approved equivalent,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
ownership of timing,3,AC15,S1,trigrams,ownership timing,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
controller substitution spares,3,AC15,S1,trigrams,controller substitution spares,3,,0,,controller,1,0.3333333333333333,False,,,0,0,0,0,,,,True
and approved equivalents,3,AC15,S1,trigrams,approved equivalents,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
lead items and,3,AC15,S1,trigrams,lead items,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
config portability and,3,AC15,S1,trigrams,config portability,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
focused on upgrades,3,AC15,S1,trigrams,focused upgrades,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
two reference calls,3,AC15,S1,trigrams,two reference calls,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
for after action,3,AC15,S1,trigrams,after action,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
after action review,3,AC15,S1,trigrams,after action review,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
during the incident,3,AC15,S1,trigrams,during incident,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
vs incident day,3,AC15,S1,trigrams,vs incident day,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
to payment milestones,3,AC15,S1,trigrams,payment milestones,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
approved equivalent models,3,AC15,S1,trigrams,approved equivalent models,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
clears dot s,3,AC15,S1,trigrams,clears dot,2,,0,,dot,1,0.5,False,,,0,0,0,0,,,,True
exhibit with long,3,AC15,S1,trigrams,exhibit long,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
vendor controlled milestones,3,AC15,S1,trigrams,vendor controlled milestones,3,,0,,vendor,1,0.3333333333333333,False,,,0,0,0,0,,,,True
a concrete critical,2,AC15,S1,trigrams,concrete critical,2,practicality_and_feasibility,1,concrete,,0,0.0,False,,,0,0,0,0,,,,True
concrete critical path,2,AC15,S1,trigrams,concrete critical path,3,practicality_and_feasibility,1,concrete,,0,0.0,False,,,0,0,0,0,,,,True
controllers data config,2,AC15,S1,trigrams,controllers data config,3,truth_and_fact,1,data,controller|controllers,2,0.3333333333333333,False,,,0,0,0,0,,,,True
concrete way standard,2,AC15,S1,trigrams,concrete way standard,3,practicality_and_feasibility,1,concrete,,0,0.0,False,,,0,0,0,0,,,,True
that preserves momentum,2,AC15,S1,trigrams,preserves momentum,2,temporal_dynamics,1,momentum,,0,0.0,False,,,0,0,0,0,,,,True
incidents major events,2,AC15,S1,trigrams,incidents major events,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
lead time weeks,2,AC15,S1,trigrams,lead time weeks,3,,0,,lead time,1,0.6666666666666666,False,,,0,0,0,0,,,,True
modular field design,2,AC15,S1,trigrams,modular field design,3,,0,,modular,1,0.3333333333333333,False,,,0,0,0,0,,,,True
congestion improvements strong,2,AC15,S1,trigrams,congestion improvements strong,3,,0,,congestion,1,0.3333333333333333,False,,,0,0,0,0,,,,True
improvements strong references,2,AC15,S1,trigrams,improvements strong references,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
cloud requirement for,2,AC15,S1,trigrams,cloud requirement,2,,0,,cloud,1,0.5,False,,,0,0,0,0,,,,True
political optics and,2,AC15,S1,trigrams,political optics,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
is unusually valuable,2,AC15,S1,trigrams,unusually valuable,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
cloud outages dr,2,AC15,S1,trigrams,cloud outages dr,3,,0,,cloud,1,0.3333333333333333,False,,,0,0,0,0,,,,True
how much highway,2,AC15,S1,trigrams,how much highway,3,,0,,highway,1,0.3333333333333333,False,,,0,0,0,0,,,,True
much highway integration,2,AC15,S1,trigrams,much highway integration,3,,0,,highway,1,0.3333333333333333,False,,,0,0,0,0,,,,True
performs the essential,2,AC15,S1,trigrams,performs essential,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
cloud review and,2,AC15,S1,trigrams,cloud review,2,,0,,cloud,1,0.5,False,,,0,0,0,0,,,,True
their typical turnaround,2,AC15,S1,trigrams,typical turnaround,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
typical turnaround how,2,AC15,S1,trigrams,typical turnaround how,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
emergency management integration,2,AC15,S1,trigrams,emergency management integration,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
whichever vendor you,2,AC15,S1,trigrams,whichever vendor,2,,0,,vendor,1,0.5,False,,,0,0,0,0,,,,True
and talking points,2,AC15,S1,trigrams,talking points,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
safe operations under,2,AC15,S1,trigrams,safe operations under,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
how we prevent,2,AC15,S1,trigrams,how prevent,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
caps escalators and,2,AC15,S1,trigrams,caps escalators,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
parts standard controllers,2,AC15,S1,trigrams,parts standard controllers,3,,0,,controller|controllers,2,0.3333333333333333,False,,,0,0,0,0,,,,True
approved equivalents spare,2,AC15,S1,trigrams,approved equivalents spare,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
the contract terms,2,AC15,S1,trigrams,contract terms,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
the award contract,2,AC15,S1,trigrams,award contract,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
inclusions exclusions to,2,AC15,S1,trigrams,inclusions exclusions,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
exclusions to prevent,2,AC15,S1,trigrams,exclusions prevent,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
coordination with dot,2,AC15,S1,trigrams,coordination dot,2,,0,,dot,1,0.5,False,,,0,0,0,0,,,,True
become an outage,2,AC15,S1,trigrams,become outage,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
with required controls,2,AC15,S1,trigrams,required controls,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
90k year adjustable,2,AC15,S1,trigrams,90k year adjustable,3,,0,,90k,1,0.3333333333333333,False,,,0,0,0,0,,,,True
times for proprietary,2,AC15,S1,trigrams,times proprietary,2,,0,,proprietary,1,0.5,False,,,0,0,0,0,,,,True
for proprietary controllers,2,AC15,S1,trigrams,proprietary controllers,2,,0,,controller|controllers|proprietary,3,1.0,True,,,0,0,0,0,,,,True
more exposure to,2,AC15,S1,trigrams,more exposure,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
less long run,2,AC15,S1,trigrams,less long run,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
in degraded conditions,2,AC15,S1,trigrams,degraded conditions,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
and after hours,2,AC15,S1,trigrams,after hours,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
signal dark flash,2,AC15,S1,trigrams,signal dark flash,3,,0,,signal,1,0.3333333333333333,False,,,0,0,0,0,,,,True
your signal supervisors,2,AC15,S1,trigrams,signal supervisors,2,,0,,signal,1,0.5,False,,,0,0,0,0,,,,True
net so far,2,AC15,S1,trigrams,net far,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
and proprietary central,2,AC15,S1,trigrams,proprietary central,2,,0,,proprietary,1,0.5,False,,,0,0,0,0,,,,True
now recommend civitas,2,AC15,S1,trigrams,now recommend civitas,3,,0,,civitas,1,0.3333333333333333,False,,,0,0,0,0,,,,True
way standard controllers,2,AC15,S1,trigrams,way standard controllers,3,,0,,controller|controllers,2,0.3333333333333333,False,,,0,0,0,0,,,,True
single points of,2,AC15,S1,trigrams,single points,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
points of failure,2,AC15,S1,trigrams,points failure,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
times and approved,2,AC15,S1,trigrams,times approved,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
comms down bad,2,AC15,S1,trigrams,comms down bad,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
down bad update,2,AC15,S1,trigrams,down bad update,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
bad update rollback,2,AC15,S1,trigrams,bad update rollback,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
controller procurement details,2,AC15,S1,trigrams,controller procurement details,3,,0,,controller|procurement,2,0.6666666666666666,False,,,0,0,0,0,,,,True
becomes more important,2,AC15,S1,trigrams,becomes more important,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
negotiate an extension,2,AC15,S1,trigrams,negotiate extension,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
a defined escalation,2,AC15,S1,trigrams,defined escalation,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
economic lock in,2,AC15,S1,trigrams,economic lock,2,,0,,lock in,1,0.5,False,,,0,0,0,0,,,,True
approved equivalents and,2,AC15,S1,trigrams,approved equivalents,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
opex caps escalators,2,AC15,S1,trigrams,opex caps escalators,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
must be able,2,AC15,S1,trigrams,must able,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
under essential infrastructure,2,AC15,S1,trigrams,under essential infrastructure,3,,0,,infrastructure|essential infrastructure,2,0.6666666666666666,False,,,0,0,0,0,,,,True
detour incident retiming,2,AC15,S1,trigrams,detour incident retiming,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
incident retiming workflow,2,AC15,S1,trigrams,incident retiming workflow,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
incident return to,2,AC15,S1,trigrams,incident return,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
the exact acceptance,2,AC15,S1,trigrams,exact acceptance,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
optimizing for high,2,AC15,S1,trigrams,optimizing high,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
get controllers spares,2,AC15,S1,trigrams,get controllers spares,3,,0,,controller|controllers,2,0.3333333333333333,False,,,0,0,0,0,,,,True
a two mode,2,AC15,S1,trigrams,two mode,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
normal day vs,2,AC15,S1,trigrams,normal day vs,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
day vs incident,2,AC15,S1,trigrams,day vs incident,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
operator workload under,2,AC15,S1,trigrams,operator workload under,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
workload under stress,2,AC15,S1,trigrams,workload under stress,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
services input should,2,AC15,S1,trigrams,services input should,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
clear approval path,2,AC15,S1,trigrams,clear approval path,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
incident mode capability,2,AC15,S1,trigrams,incident mode capability,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
should push you,2,AC15,S1,trigrams,should push,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
wan degradation during,2,AC15,S1,trigrams,wan degradation during,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
degradation during the,2,AC15,S1,trigrams,degradation during,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
deployable under your,2,AC15,S1,trigrams,deployable under,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
has only years,2,AC15,S1,trigrams,has years,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
procurement and spares,2,AC15,S1,trigrams,procurement spares,2,,0,,procurement,1,0.5,False,,,0,0,0,0,,,,True
and contractual safeguards,2,AC15,S1,trigrams,contractual safeguards,2,,0,,,0,0.0,False,,,0,0,0,0,,,,True
month support runway,2,AC15,S1,trigrams,month support runway,3,,0,,,0,0.0,False,,,0,0,0,0,,,,True
