ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy,expression_groups,expression_first_class,expression_group_count,expression_first_class_count,layer_a_count,layer_b_count,layer_a_groups,layer_b_groups,matched_expression_terms,unclassified
and penalty schedule,3,AC15,S3,trigrams,penalty schedule,2,practicality_and_feasibility,1,schedule,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,schedule,False
cost of disruption,2,AC15,S3,trigrams,cost disruption,2,practicality_and_feasibility|temporal_dynamics,2,cost|disruption,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,cost,False
reliable detection mitigation,2,AC15,S3,trigrams,reliable detection mitigation,3,truth_and_fact|practicality_and_feasibility,2,reliable|mitigation,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,mitigat|mitigation,False
detection proactive mitigation,2,AC15,S3,trigrams,detection proactive mitigation,3,practicality_and_feasibility,1,mitigation,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,mitigat|mitigation,False
rev b timeline,2,AC15,S3,trigrams,rev b timeline,3,practicality_and_feasibility,1,timeline,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,timeline,False
penalty schedule expected,2,AC15,S3,trigrams,penalty schedule expected,3,practicality_and_feasibility,1,schedule,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,schedule,False
economic control cost,2,AC15P,S3,trigrams,economic control cost,3,practicality_and_feasibility,1,cost,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,cost,False
expected cost of,2,AC15P,S3,trigrams,expected cost,2,practicality_and_feasibility,1,cost,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,cost,False
cost of delaying,2,AC15P,S3,trigrams,cost delaying,2,practicality_and_feasibility,1,cost,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,cost,False
an unbounded mitigation,2,AC15P,S3,trigrams,unbounded mitigation,2,practicality_and_feasibility,1,mitigation,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,mitigat|mitigation,False
bounded mitigation is,2,AC15P,S3,trigrams,bounded mitigation,2,practicality_and_feasibility,1,mitigation,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.constraints_and_tradeoffs|practical_considerations_and_execution.resources_timing_conditions,1,2,1,0,practical_considerations_and_execution,,bounded|mitigat|mitigation,False
contingent on rev,2,AC15P,S3,trigrams,contingent rev,2,,0,,,0,0.0,False,conditions|practical_considerations_and_execution,conditions|practical_considerations_and_execution.resources_timing_conditions,2,2,1,1,practical_considerations_and_execution,conditions,contingen|contingent|contingent on,False
mitigations survey detection,2,AC15P,S3,trigrams,mitigations survey detection,3,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,mitigat|mitigations,False
lois msas contingent,2,CONTROL,S3,trigrams,lois msas contingent,3,,0,,,0,0.0,False,conditions|practical_considerations_and_execution,conditions|practical_considerations_and_execution.resources_timing_conditions,2,2,1,1,practical_considerations_and_execution,conditions,contingen|contingent,False
msas contingent on,2,CONTROL,S3,trigrams,msas contingent,2,,0,,,0,0.0,False,conditions|practical_considerations_and_execution,conditions|practical_considerations_and_execution.resources_timing_conditions,2,2,1,1,practical_considerations_and_execution,conditions,contingen|contingent|contingent on,False
near term mitigation,2,HYBRID_3_5,S3,trigrams,near term mitigation,3,practicality_and_feasibility|temporal_dynamics,2,near term|mitigation,,0,0.0,False,practical_considerations_and_execution|temporal_projection,practical_considerations_and_execution.resources_timing_conditions|temporal_projection.time_horizons,2,2,2,0,practical_considerations_and_execution|temporal_projection,,mitigat|mitigation|near term,False
root cause mitigation,2,HYBRID_3_5,S3,trigrams,root cause mitigation,3,practicality_and_feasibility,1,mitigation,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,mitigat|mitigation,False
your current fallback,2,HYBRID_3_5,S3,trigrams,current fallback,2,practicality_and_feasibility,1,fallback,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,fallback,False
current fallback is,2,HYBRID_3_5,S3,trigrams,current fallback,2,practicality_and_feasibility,1,fallback,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,fallback,False
mitigation geofence patch,2,HYBRID_3_5,S3,trigrams,mitigation geofence patch,3,practicality_and_feasibility,1,mitigation,geofence,1,0.3333333333333333,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,mitigat|mitigation,False
conditions with margin,2,HYBRID_3_5,S3,trigrams,conditions margin,2,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,margin,False
hardware fix schedule,2,HYBRID_SEMANTIC,S3,trigrams,hardware fix schedule,3,practicality_and_feasibility,1,schedule,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,schedule,False
fix schedule is,2,HYBRID_SEMANTIC,S3,trigrams,fix schedule,2,practicality_and_feasibility,1,schedule,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,schedule,False
cost actions to,2,HYBRID_SEMANTIC,S3,trigrams,cost actions,2,practicality_and_feasibility,1,cost,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,cost,False
at any cost,2,HYBRID_SEMANTIC,S3,trigrams,any cost,2,practicality_and_feasibility,1,cost,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,cost,False
timeline retrofit policy,2,HYBRID_SEMANTIC,S3,trigrams,timeline retrofit policy,3,practicality_and_feasibility,1,timeline,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.resources_timing_conditions,1,1,1,0,practical_considerations_and_execution,,timeline,False
