ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy
make us wrong,6,AC15,S1,trigrams,make wrong,2,,0,,,0,0.0,False
controller substitution rights,5,AC15,S1,trigrams,controller substitution rights,3,,0,,controller,1,0.3333333333333333,False
pre approved equivalents,4,AC15,S1,trigrams,pre approved equivalents,3,,0,,,0,0.0,False
proprietary central components,4,AC15,S1,trigrams,proprietary central components,3,,0,,proprietary,1,0.3333333333333333,False
those i can,4,AC15,S1,trigrams,those i,2,,0,,,0,0.0,False
and controller procurement,3,AC15,S1,trigrams,controller procurement,2,,0,,controller|procurement,2,1.0,True
and required controls,3,AC15,S1,trigrams,required controls,2,,0,,,0,0.0,False
central wan degradation,3,AC15,S1,trigrams,central wan degradation,3,,0,,,0,0.0,False
fee escalation cap,3,AC15,S1,trigrams,fee escalation cap,3,,0,,,0,0.0,False
pre approved equivalent,3,AC15,S1,trigrams,pre approved equivalent,3,,0,,,0,0.0,False
ownership of timing,3,AC15,S1,trigrams,ownership timing,2,,0,,,0,0.0,False
acceptance testing that,3,AC15,S1,trigrams,acceptance testing,2,,0,,,0,0.0,False
controller substitution spares,3,AC15,S1,trigrams,controller substitution spares,3,,0,,controller,1,0.3333333333333333,False
and approved equivalents,3,AC15,S1,trigrams,approved equivalents,2,,0,,,0,0.0,False
lead items and,3,AC15,S1,trigrams,lead items,2,,0,,,0,0.0,False
config portability and,3,AC15,S1,trigrams,config portability,2,,0,,,0,0.0,False
focused on upgrades,3,AC15,S1,trigrams,focused upgrades,2,,0,,,0,0.0,False
two reference calls,3,AC15,S1,trigrams,two reference calls,3,,0,,,0,0.0,False
for after action,3,AC15,S1,trigrams,after action,2,,0,,,0,0.0,False
after action review,3,AC15,S1,trigrams,after action review,3,,0,,,0,0.0,False
during the incident,3,AC15,S1,trigrams,during incident,2,,0,,,0,0.0,False
vs incident day,3,AC15,S1,trigrams,vs incident day,3,,0,,,0,0.0,False
