scenario,scenario_label,level,system,ngram,count,token_len,rank_within_system,system_sum_count,count_share_in_system,owner_count,owner_systems,global_ngram_count,content_token_count,content_token_ratio,scaffold_prefix,has_scaffold_prefix,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy,matched_expression_groups,expression_group_count,matched_expression_terms,matched_expression_layers,constraint_aligned_group_count,cross_cutting_group_count,matched_expression_subgroups,expression_subgroup_count
S7,Scenario 7 - Trigrams,trigrams,AC15,an exit fund,11,3,10,15788,0.000697,1,AC15,11,2,0.6667,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S7,Scenario 7 - Trigrams,trigrams,AC15,keep an exit,8,3,17,15788,0.000507,1,AC15,8,2,0.6667,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S7,Scenario 7 - Trigrams,trigrams,AC15,ordinary life stay,7,3,26,15788,0.000443,1,AC15,7,3,1.0,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S7,Scenario 7 - Trigrams,trigrams,AC15,partner not nurse,6,3,31,15788,0.00038,1,AC15,6,2,0.6667,,False,,0,,partner,1,0.5,False,,0,,,0,0,,0
S7,Scenario 7 - Trigrams,trigrams,AC15,week ordinary life,6,3,35,15788,0.00038,1,AC15,6,3,1.0,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S7,Scenario 7 - Trigrams,trigrams,AC15,exit fund and,5,3,45,15788,0.000317,1,AC15,5,2,0.6667,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S7,Scenario 7 - Trigrams,trigrams,AC15,exit fund don,5,3,46,15788,0.000317,1,AC15,5,2,0.6667,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S7,Scenario 7 - Trigrams,trigrams,AC15,activity without her,4,3,65,15788,0.000253,1,AC15,4,3,1.0,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S7,Scenario 7 - Trigrams,trigrams,AC15,ordinary life trial,4,3,91,15788,0.000253,1,AC15,4,3,1.0,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S7,Scenario 7 - Trigrams,trigrams,AC15,what i m,4,3,109,15788,0.000253,1,AC15,4,2,0.6667,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S7,Scenario 7 - Trigrams,trigrams,AC15,a true pilot,3,3,121,15788,0.00019,1,AC15,3,2,0.6667,,False,imagination_and_possibility,1,pilot,,0,0.0,False,imagination_and_possibility,1,pilot,constraint_aligned,1,0,imagination_and_possibility:path_toward_feasibility,1
