ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy
unreliable before you can,2,AC15,S3,quadgrams,unreliable before,2,truth_and_fact,1,unreliable,,0,0.0,False
transition to a more,2,AC15,S3,quadgrams,transition more,2,temporal_dynamics,1,transition,,0,0.0,False
to a more robust,2,AC15,S3,quadgrams,more robust,2,temporal_dynamics,1,robust,,0,0.0,False
a more robust nav,2,AC15,S3,quadgrams,more robust nav,3,temporal_dynamics,1,robust,,0,0.0,False
more robust nav mode,2,AC15,S3,quadgrams,more robust nav mode,4,temporal_dynamics,1,robust,,0,0.0,False
constrained launch parallel hardware,2,AC15,S3,quadgrams,constrained launch parallel hardware,4,practicality_and_feasibility,1,constrained,launch,1,0.25,False
de risked execution not,2,AC15,S3,quadgrams,de risked execution,3,practicality_and_feasibility,1,execution,,0,0.0,False
shielding prototype validated evt,2,AC15,S3,quadgrams,shielding prototype validated evt,4,imagination_and_possibility,1,prototype,shielding,1,0.25,False
prototype validated evt dvt,2,AC15,S3,quadgrams,prototype validated evt dvt,4,imagination_and_possibility,1,prototype,,0,0.0,False
definition and penalty schedule,2,AC15,S3,quadgrams,definition penalty schedule,3,practicality_and_feasibility,1,schedule,,0,0.0,False
runtime detection proactive mitigation,2,AC15,S3,quadgrams,runtime detection proactive mitigation,4,practicality_and_feasibility,1,mitigation,,0,0.0,False
the claims are truthful,2,AC15,S3,quadgrams,claims truthful,2,truth_and_fact,1,claims,,0,0.0,False
claims are truthful and,2,AC15,S3,quadgrams,claims truthful,2,truth_and_fact,1,claims,,0,0.0,False
market window without sacrificing,2,AC15,S3,quadgrams,market window without sacrificing,4,temporal_dynamics,1,window,,0,0.0,False
window without sacrificing the,2,AC15,S3,quadgrams,window without sacrificing,3,temporal_dynamics,1,window,,0,0.0,False
procedural controls software constraints,2,AC15,S3,quadgrams,procedural controls software constraints,4,practicality_and_feasibility,1,constraints,,0,0.0,False
the rev b schedule,2,AC15,S3,quadgrams,rev b schedule,3,practicality_and_feasibility,1,schedule,,0,0.0,False
mitigation is not bounded,3,AC15P,S3,quadgrams,mitigation bounded,2,practicality_and_feasibility,1,mitigation,,0,0.0,False
paid pilot limited availability,2,AC15P,S3,quadgrams,paid pilot limited availability,4,imagination_and_possibility,1,pilot,,0,0.0,False
pilot la until rev,2,AC15P,S3,quadgrams,pilot la until rev,4,imagination_and_possibility,1,pilot,,0,0.0,False
mining as paid pilot,2,AC15P,S3,quadgrams,mining paid pilot,3,imagination_and_possibility,1,pilot,mining,1,0.3333333333333333,False
whether you can implement,2,AC15P,S3,quadgrams,whether implement,2,practicality_and_feasibility,1,implement,,0,0.0,False
zones may shift so,2,AC15P,S3,quadgrams,zones may shift,3,temporal_dynamics,1,shift,,0,0.0,False
penalty free qualification phase,2,AC15P,S3,quadgrams,penalty free qualification phase,4,temporal_dynamics,1,phase,,0,0.0,False
qualification phase i can,2,AC15P,S3,quadgrams,qualification phase i,3,temporal_dynamics,1,phase,,0,0.0,False
ve confirmed the chief,2,AC15P,S3,quadgrams,confirmed chief,2,truth_and_fact,1,confirmed,,0,0.0,False
confirmed the chief architect,2,AC15P,S3,quadgrams,confirmed chief architect,3,truth_and_fact,1,confirmed,chief architect,1,0.6666666666666666,False
a constrained commercial deployment,3,CONTROL,S3,quadgrams,constrained commercial deployment,3,practicality_and_feasibility,1,constrained,,0,0.0,False
terms rate maturity covenants,2,CONTROL,S3,quadgrams,terms rate maturity covenants,4,temporal_dynamics,1,maturity,,0,0.0,False
maturity covenants control rights,2,CONTROL,S3,quadgrams,maturity covenants control rights,4,temporal_dynamics,1,maturity,,0,0.0,False
a constrained commercial release,2,CONTROL,S3,quadgrams,constrained commercial release,3,practicality_and_feasibility,1,constrained,,0,0.0,False
if field data violates,2,CONTROL,S3,quadgrams,field data violates,3,truth_and_fact,1,data,,0,0.0,False
field data violates assumptions,2,CONTROL,S3,quadgrams,field data violates assumptions,4,truth_and_fact,1,data,,0,0.0,False
zones can shift static,2,CONTROL,S3,quadgrams,zones shift static,3,temporal_dynamics,1,shift,,0,0.0,False
high consequence operational hazard,2,CONTROL,S3,quadgrams,high consequence operational hazard,4,practicality_and_feasibility,1,operational,,0,0.0,False
worst case scenario you,2,CONTROL,S3,quadgrams,worst case scenario,3,temporal_dynamics|imagination_and_possibility,1,scenario,,0,0.0,False
a high consequence operational,2,CONTROL,S3,quadgrams,high consequence operational,3,practicality_and_feasibility,1,operational,,0,0.0,False
non stationary emi risk,4,HYBRID_3_5,S3,quadgrams,non stationary emi risk,4,practicality_and_feasibility,1,risk,,0,0.0,False
zones can shift and,3,HYBRID_3_5,S3,quadgrams,zones shift,2,temporal_dynamics,1,shift,,0,0.0,False
commercial pilot limited availability,2,HYBRID_3_5,S3,quadgrams,commercial pilot limited availability,4,imagination_and_possibility,1,pilot,,0,0.0,False
your current fallback is,2,HYBRID_3_5,S3,quadgrams,current fallback,2,practicality_and_feasibility,1,fallback,,0,0.0,False
you ship a constrained,2,HYBRID_3_5,S3,quadgrams,ship constrained,2,practicality_and_feasibility,1,constrained,,0,0.0,False
a constrained entry into,2,HYBRID_3_5,S3,quadgrams,constrained entry,2,practicality_and_feasibility,1,constrained,,0,0.0,False
constrained entry into service,2,HYBRID_3_5,S3,quadgrams,constrained entry service,3,practicality_and_feasibility,1,constrained,,0,0.0,False
suggest the most realistic,2,HYBRID_3_5,S3,quadgrams,suggest most realistic,3,practicality_and_feasibility,1,realistic,,0,0.0,False
begin only after objective,2,HYBRID_3_5,S3,quadgrams,begin after objective,3,truth_and_fact,1,objective,,0,0.0,False
only after objective reliability,2,HYBRID_3_5,S3,quadgrams,after objective reliability,3,truth_and_fact,1,objective,,0,0.0,False
after objective reliability qualification,2,HYBRID_3_5,S3,quadgrams,after objective reliability qualification,4,truth_and_fact,1,objective,,0,0.0,False
until reliability is proven,2,HYBRID_3_5,S3,quadgrams,until reliability proven,3,truth_and_fact,1,proven,,0,0.0,False
case and external claims,2,HYBRID_3_5,S3,quadgrams,case external claims,3,truth_and_fact,1,claims,,0,0.0,False
and external claims if,2,HYBRID_3_5,S3,quadgrams,external claims,2,truth_and_fact,1,claims,,0,0.0,False
a pilot acceptance phase,3,HYBRID_SEMANTIC,S3,quadgrams,pilot acceptance phase,3,temporal_dynamics|imagination_and_possibility,2,phase|pilot,,0,0.0,False
early access production pilot,3,HYBRID_SEMANTIC,S3,quadgrams,early access production pilot,4,imagination_and_possibility,1,pilot,early access,1,0.5,False
pilot acceptance phase with,2,HYBRID_SEMANTIC,S3,quadgrams,pilot acceptance phase,3,temporal_dynamics|imagination_and_possibility,2,phase|pilot,,0,0.0,False
the hardware fix schedule,2,HYBRID_SEMANTIC,S3,quadgrams,hardware fix schedule,3,practicality_and_feasibility,1,schedule,,0,0.0,False
phase with defined acceptance,2,HYBRID_SEMANTIC,S3,quadgrams,phase defined acceptance,3,temporal_dynamics,1,phase,,0,0.0,False
bound the interference risk,2,HYBRID_SEMANTIC,S3,quadgrams,bound interference risk,3,practicality_and_feasibility,1,risk,interference,1,0.3333333333333333,False
the interference risk at,2,HYBRID_SEMANTIC,S3,quadgrams,interference risk,2,practicality_and_feasibility,1,risk,interference,1,0.5,False
contract into a pilot,2,HYBRID_SEMANTIC,S3,quadgrams,contract pilot,2,imagination_and_possibility,1,pilot,,0,0.0,False
with a constrained envelope,2,HYBRID_SEMANTIC,S3,quadgrams,constrained envelope,2,practicality_and_feasibility,1,constrained,,0,0.0,False
constrained launch disqualified if,2,HYBRID_SEMANTIC,S3,quadgrams,constrained launch disqualified,3,practicality_and_feasibility,1,constrained,launch,1,0.3333333333333333,False
paid production pilot in,2,HYBRID_SEMANTIC,S3,quadgrams,paid production pilot,3,imagination_and_possibility,1,pilot,,0,0.0,False
production pilot in qualified,2,HYBRID_SEMANTIC,S3,quadgrams,production pilot qualified,3,imagination_and_possibility,1,pilot,,0,0.0,False
pilot in qualified corridors,2,HYBRID_SEMANTIC,S3,quadgrams,pilot qualified corridors,3,imagination_and_possibility,1,pilot,,0,0.0,False
pilot terms caps exclusions,2,HYBRID_SEMANTIC,S3,quadgrams,pilot terms caps exclusions,4,imagination_and_possibility,1,pilot,,0,0.0,False
a paid production pilot,2,HYBRID_SEMANTIC,S3,quadgrams,paid production pilot,3,imagination_and_possibility,1,pilot,,0,0.0,False
integrity monitoring if feasible,2,HYBRID_SEMANTIC,S3,quadgrams,integrity monitoring feasible,3,practicality_and_feasibility,1,feasible,,0,0.0,False
timeline retrofit policy for,2,HYBRID_SEMANTIC,S3,quadgrams,timeline retrofit policy,3,practicality_and_feasibility,1,timeline,,0,0.0,False
