scenario,scenario_label,level,system,ngram,count,token_len,rank_within_system,system_sum_count,count_share_in_system,owner_count,owner_systems,global_ngram_count,content_token_count,content_token_ratio,scaffold_prefix,has_scaffold_prefix,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy,matched_expression_groups,expression_group_count,matched_expression_terms,matched_expression_layers,constraint_aligned_group_count,cross_cutting_group_count,matched_expression_subgroups,expression_subgroup_count,expression_group,expression_group_layer,expression_subgroup
S5,Scenario 5 - Quadgrams,quadgrams,AC15,one click mark outdated,4,4,4,11093,0.000361,1,AC15,4,4,1.0,,False,temporal_dynamics,1,outdated,,0,0.0,False,temporal_projection,1,outdated,constraint_aligned,1,0,temporal_projection:decay_and_currency,1,temporal_projection,constraint_aligned,decay_and_currency
S5,Scenario 5 - Quadgrams,quadgrams,AC15,deprecated created_at last_confirmed_at confidence,3,4,13,11093,0.00027,1,AC15,3,4,1.0,,False,temporal_dynamics;truth_and_fact,2,confirmed;deprecat,deprecated,1,0.2,False,practical_considerations_and_execution;temporal_projection;truth,3,confirm;confirmed;created;deprecat;deprecated,constraint_aligned,3,0,practical_considerations_and_execution:action_and_execution;temporal_projection:decay_and_currency;truth:verification,3,practical_considerations_and_execution,constraint_aligned,action_and_execution
S5,Scenario 5 - Quadgrams,quadgrams,AC15,deprecated created_at last_confirmed_at confidence,3,4,13,11093,0.00027,1,AC15,3,4,1.0,,False,temporal_dynamics;truth_and_fact,2,confirmed;deprecat,deprecated,1,0.2,False,practical_considerations_and_execution;temporal_projection;truth,3,confirm;confirmed;created;deprecat;deprecated,constraint_aligned,3,0,practical_considerations_and_execution:action_and_execution;temporal_projection:decay_and_currency;truth:verification,3,temporal_projection,constraint_aligned,decay_and_currency
S5,Scenario 5 - Quadgrams,quadgrams,AC15,deprecated created_at last_confirmed_at confidence,3,4,13,11093,0.00027,1,AC15,3,4,1.0,,False,temporal_dynamics;truth_and_fact,2,confirmed;deprecat,deprecated,1,0.2,False,practical_considerations_and_execution;temporal_projection;truth,3,confirm;confirmed;created;deprecat;deprecated,constraint_aligned,3,0,practical_considerations_and_execution:action_and_execution;temporal_projection:decay_and_currency;truth:verification,3,truth,constraint_aligned,verification
S5,Scenario 5 - Quadgrams,quadgrams,AC15,superseded deprecated created_at last_confirmed_at,3,4,17,11093,0.00027,1,AC15,3,4,1.0,,False,temporal_dynamics;truth_and_fact,2,confirmed;deprecat,deprecated,1,0.2,False,practical_considerations_and_execution;temporal_projection;truth,3,confirm;confirmed;created;deprecat;deprecated,constraint_aligned,3,0,practical_considerations_and_execution:action_and_execution;temporal_projection:decay_and_currency;truth:verification,3,practical_considerations_and_execution,constraint_aligned,action_and_execution
S5,Scenario 5 - Quadgrams,quadgrams,AC15,superseded deprecated created_at last_confirmed_at,3,4,17,11093,0.00027,1,AC15,3,4,1.0,,False,temporal_dynamics;truth_and_fact,2,confirmed;deprecat,deprecated,1,0.2,False,practical_considerations_and_execution;temporal_projection;truth,3,confirm;confirmed;created;deprecat;deprecated,constraint_aligned,3,0,practical_considerations_and_execution:action_and_execution;temporal_projection:decay_and_currency;truth:verification,3,temporal_projection,constraint_aligned,decay_and_currency
S5,Scenario 5 - Quadgrams,quadgrams,AC15,superseded deprecated created_at last_confirmed_at,3,4,17,11093,0.00027,1,AC15,3,4,1.0,,False,temporal_dynamics;truth_and_fact,2,confirmed;deprecat,deprecated,1,0.2,False,practical_considerations_and_execution;temporal_projection;truth,3,confirm;confirmed;created;deprecat;deprecated,constraint_aligned,3,0,practical_considerations_and_execution:action_and_execution;temporal_projection:decay_and_currency;truth:verification,3,truth,constraint_aligned,verification
S5,Scenario 5 - Quadgrams,quadgrams,AC15,active superseded deprecated created_at,3,4,6,11093,0.00027,1,AC15,3,4,1.0,,False,temporal_dynamics,1,deprecat,deprecated,1,0.25,False,practical_considerations_and_execution;temporal_projection,2,created;deprecat;deprecated,constraint_aligned,2,0,practical_considerations_and_execution:action_and_execution;temporal_projection:decay_and_currency,2,practical_considerations_and_execution,constraint_aligned,action_and_execution
S5,Scenario 5 - Quadgrams,quadgrams,AC15,active superseded deprecated created_at,3,4,6,11093,0.00027,1,AC15,3,4,1.0,,False,temporal_dynamics,1,deprecat,deprecated,1,0.25,False,practical_considerations_and_execution;temporal_projection,2,created;deprecat;deprecated,constraint_aligned,2,0,practical_considerations_and_execution:action_and_execution;temporal_projection:decay_and_currency,2,temporal_projection,constraint_aligned,decay_and_currency
S5,Scenario 5 - Quadgrams,quadgrams,AC15,decision constraint convention confirmedfix,3,4,12,11093,0.00027,1,AC15,3,4,1.0,,False,practicality_and_feasibility,1,constraint,,0,0.0,False,practical_considerations_and_execution;truth,2,confirm;constrain;constraint,constraint_aligned,2,0,practical_considerations_and_execution:constraints_and_tradeoffs;truth:verification,2,practical_considerations_and_execution,constraint_aligned,constraints_and_tradeoffs
