scenario,level,system,expression_group,expression_group_layer,ngram,count,matched_constraints,constraint_hit_count,scenario_heavy
S1,trigrams,AC15,surfacing,cross_cutting,make us wrong,6,,0,False
S1,trigrams,AC15,surfacing,cross_cutting,contract doesn t,2,,0,False
S1,trigrams,AC15,surfacing,cross_cutting,doesn t allow,2,,0,False
S1,trigrams,AC15,surfacing,cross_cutting,external blockers civitas,2,practicality_and_feasibility,1,False
S1,trigrams,AC15,surfacing,cross_cutting,fewest external blockers,2,practicality_and_feasibility,1,False
S1,trigrams,AC15,surfacing,cross_cutting,permissible and doesn,2,,0,False
S1,trigrams,AC15,surfacing,cross_cutting,the contract doesn,2,,0,False
S1,trigrams,AC15,temporal_projection,constraint_aligned,near term opex,5,temporal_dynamics,1,False
S1,trigrams,AC15,temporal_projection,constraint_aligned,config portability transition,4,temporal_dynamics,1,False
S1,trigrams,AC15,temporal_projection,constraint_aligned,a phased notice,2,temporal_dynamics,1,False
S1,trigrams,AC15,temporal_projection,constraint_aligned,a phased start,2,temporal_dynamics,1,False
S1,trigrams,AC15,temporal_projection,constraint_aligned,better near term,2,temporal_dynamics,1,False
S1,trigrams,AC15,temporal_projection,constraint_aligned,change control staged,2,,0,False
S1,trigrams,AC15,temporal_projection,constraint_aligned,documented formats transition,2,temporal_dynamics,1,False
S1,trigrams,AC15,temporal_projection,constraint_aligned,long term dependency,2,practicality_and_feasibility;temporal_dynamics,2,False
S1,trigrams,AC15,temporal_projection,constraint_aligned,month support horizon,2,,0,False
S1,trigrams,AC15,temporal_projection,constraint_aligned,phased notice to,2,temporal_dynamics,1,False
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,timeline and required,3,practicality_and_feasibility;temporal_dynamics,1,False
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,a phased start,2,temporal_dynamics,1,False
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,before broad rollout,2,,0,False
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,central cloud dependency,2,practicality_and_feasibility,1,False
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,contingent on passing,2,,0,False
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,cost reduction vs,2,practicality_and_feasibility,1,False
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,cost to maintain,2,practicality_and_feasibility,1,False
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,costs blow up,2,,0,False
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,external blockers civitas,2,practicality_and_feasibility,1,False
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,fewest external blockers,2,practicality_and_feasibility,1,False
S1,trigrams,AC15,truth,constraint_aligned,acceptance testing that,3,,0,False
S1,trigrams,AC15,truth,constraint_aligned,and council proof,2,truth_and_fact,1,False
S1,trigrams,AC15,truth,constraint_aligned,documented formats transition,2,temporal_dynamics,1,False
S1,trigrams,AC15,truth,constraint_aligned,failover test as,2,,0,False
S1,trigrams,AC15,truth,constraint_aligned,long run evidence,2,truth_and_fact,1,False
S1,trigrams,AC15,truth,constraint_aligned,testing that includes,2,,0,False
S1,trigrams,AC15,conditions,cross_cutting,contingent on passing,2,,0,False
S1,trigrams,AC15,warning,cross_cutting,costs blow up,2,,0,False
S1,trigrams,AC15,warning,cross_cutting,risk while keeping,2,practicality_and_feasibility,1,False
S1,trigrams,AC15,hedging,cross_cutting,appears to best,2,,0,False
S1,trigrams,AC15,hedging,cross_cutting,controllers typically mean,2,,0,False
S1,trigrams,AC15,hedging,cross_cutting,likely stronger in,2,,0,False
S1,trigrams,AC15,hedging,cross_cutting,standard controllers typically,2,,0,False
S1,trigrams,AC15P,hedging,cross_cutting,may be underestimated,7,,0,False
S1,trigrams,AC15P,hedging,cross_cutting,short novagrid may,2,,0,False
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,failure council budget,3,practicality_and_feasibility,1,False
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,plans controller configs,3,,0,False
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,schedule slip or,3,practicality_and_feasibility,1,False
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,t delay start,3,,0,False
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,total operating cost,3,practicality_and_feasibility,1,False
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,under your constraints,3,practicality_and_feasibility,1,False
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,adjustment budget volatility,2,practicality_and_feasibility,1,False
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,and operating budgets,2,,0,False
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,and operating cost,2,practicality_and_feasibility,1,False
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,avoidable schedule risk,2,practicality_and_feasibility,2,False
S1,trigrams,AC15P,temporal_projection,constraint_aligned,week award window,3,temporal_dynamics,1,False
S1,trigrams,AC15P,temporal_projection,constraint_aligned,access transition assistance,2,temporal_dynamics,1,False
S1,trigrams,AC15P,temporal_projection,constraint_aligned,and increase lifecycle,2,temporal_dynamics,1,False
S1,trigrams,AC15P,temporal_projection,constraint_aligned,fees transition assistance,2,temporal_dynamics,1,False
S1,trigrams,AC15P,temporal_projection,constraint_aligned,get trapped later,2,,0,False
S1,trigrams,AC15P,temporal_projection,constraint_aligned,punitive fees transition,2,temporal_dynamics,1,False
S1,trigrams,AC15P,temporal_projection,constraint_aligned,resilience acceptance tests,2,temporal_dynamics,1,False
S1,trigrams,AC15P,temporal_projection,constraint_aligned,their early data,2,truth_and_fact,1,False
S1,trigrams,AC15P,temporal_projection,constraint_aligned,window novagrid also,2,temporal_dynamics,1,False
S1,trigrams,AC15P,truth,constraint_aligned,full export documented,2,,0,False
S1,trigrams,AC15P,truth,constraint_aligned,logs documented interfaces,2,,0,False
S1,trigrams,AC15P,truth,constraint_aligned,management and audit,2,,0,False
S1,trigrams,AC15P,truth,constraint_aligned,novagrid gating uncertainty,2,truth_and_fact,1,False
S1,trigrams,AC15P,truth,constraint_aligned,plans logs documented,2,,0,False
S1,trigrams,AC15P,truth,constraint_aligned,procurement legal confirm,2,truth_and_fact,1,False
S1,trigrams,AC15P,warning,cross_cutting,a risk managed,2,practicality_and_feasibility,1,False
S1,trigrams,AC15P,warning,cross_cutting,avoidable schedule risk,2,practicality_and_feasibility,2,False
S1,trigrams,AC15P,warning,cross_cutting,flexibility exit risk,2,imagination_and_possibility;practicality_and_feasibility,2,False
S1,trigrams,AC15P,warning,cross_cutting,risk stack for,2,practicality_and_feasibility,1,False
S1,trigrams,AC15P,warning,cross_cutting,risk vendor responsiveness,2,practicality_and_feasibility,1,False
S1,trigrams,AC15P,warning,cross_cutting,schedule risk regardless,2,practicality_and_feasibility,2,False
S1,trigrams,AC15P,warning,cross_cutting,schedule risk we,2,practicality_and_feasibility,2,False
S1,trigrams,AC15P,warning,cross_cutting,the overall risk,2,practicality_and_feasibility,1,False
S1,trigrams,AC15P,surfacing,cross_cutting,as non negotiable,2,,0,False
S1,trigrams,AC15P,surfacing,cross_cutting,friction essential infrastructure,2,practicality_and_feasibility,1,False
S1,trigrams,AC15P,surfacing,cross_cutting,non negotiable reliability,2,,0,False
S1,trigrams,AC15P,surfacing,cross_cutting,waiver friction essential,2,practicality_and_feasibility,1,False
S1,trigrams,AC15P,imagination_and_possibility,constraint_aligned,possible iteration it,2,imagination_and_possibility,1,False
S1,trigrams,AC15P,conditions,cross_cutting,unless you cap,2,,0,False
S1,trigrams,CONTROL,hedging,cross_cutting,how it could,6,,0,False
S1,trigrams,CONTROL,hedging,cross_cutting,it could bite,6,,0,False
S1,trigrams,CONTROL,hedging,cross_cutting,could bite you,4,,0,False
S1,trigrams,CONTROL,hedging,cross_cutting,time that could,3,,0,False
S1,trigrams,CONTROL,hedging,cross_cutting,could bite year,2,,0,False
S1,trigrams,CONTROL,hedging,cross_cutting,could change the,2,,0,False
S1,trigrams,CONTROL,hedging,cross_cutting,modular tends to,2,,0,False
S1,trigrams,CONTROL,hedging,cross_cutting,tends to win,2,,0,False
S1,trigrams,CONTROL,temporal_projection,constraint_aligned,long term o,4,temporal_dynamics,1,False
S1,trigrams,CONTROL,temporal_projection,constraint_aligned,a staged rollout,3,,0,False
S1,trigrams,CONTROL,temporal_projection,constraint_aligned,compete future components,3,temporal_dynamics,1,False
S1,trigrams,CONTROL,temporal_projection,constraint_aligned,documentation delivered early,3,,0,False
S1,trigrams,CONTROL,temporal_projection,constraint_aligned,preserve exit leverage,3,,0,False
S1,trigrams,CONTROL,temporal_projection,constraint_aligned,staged rollout plan,3,,0,False
S1,trigrams,CONTROL,temporal_projection,constraint_aligned,to compete future,3,temporal_dynamics,1,False
S1,trigrams,CONTROL,temporal_projection,constraint_aligned,delivered early milestone,2,,0,False
S1,trigrams,CONTROL,temporal_projection,constraint_aligned,early milestone based,2,,0,False
S1,trigrams,CONTROL,temporal_projection,constraint_aligned,long term leverage,2,temporal_dynamics,1,False
