scenario,level,system,first_class_group,ngram,count,matched_terms
S1,trigrams,CONTROL,truth.verification,export test as,3,test
S1,trigrams,AC15,truth.verification,acceptance testing that,3,testing
S1,trigrams,AC15,truth.verification,long run evidence,2,evidence
S1,trigrams,AC15,truth.verification,and council proof,2,proof
S1,trigrams,AC15,truth.verification,documented formats transition,2,documented|transit|transition
S1,trigrams,AC15,truth.verification,testing that includes,2,testing
S1,trigrams,AC15,truth.verification,failover test as,2,test
S1,trigrams,AC15P,truth.verification,procurement legal confirm,2,confirm
S1,trigrams,AC15P,truth.verification,management and audit,2,audit
S1,trigrams,AC15P,truth.verification,full export documented,2,documented
S1,trigrams,AC15P,truth.verification,plans logs documented,2,documented|plans
S1,trigrams,AC15P,truth.verification,logs documented interfaces,2,documented
S1,trigrams,HYBRID_3_5,truth.verification,models multi source,2,source
S1,trigrams,HYBRID_3_5,truth.verification,multi source availability,2,source
S1,trigrams,HYBRID_3_5,truth.verification,long horizon evidence,2,evidence|horizon
S1,trigrams,HYBRID_3_5,truth.verification,single source pricing,2,source
S1,trigrams,HYBRID_3_5,truth.verification,source procurement city,2,source
S1,trigrams,HYBRID_3_5,truth.verification,escalation stress test,2,test
S1,trigrams,HYBRID_3_5,truth.verification,testing and contract,2,testing
S1,trigrams,HYBRID_3_5,truth.verification,added integration testing,2,testing
S1,trigrams,HYBRID_3_5,truth.verification,integration testing complexity,2,testing
S1,trigrams,HYBRID_3_5,truth.verification,documented formats include,2,documented
S1,trigrams,HYBRID_SEMANTIC,truth.verification,to ask verify,9,verif|verify
S1,trigrams,HYBRID_SEMANTIC,truth.verification,and less evidence,2,evidence
S1,trigrams,HYBRID_SEMANTIC,truth.verification,ask verify documented,2,documented|verif|verify
S1,trigrams,HYBRID_SEMANTIC,truth.verification,testing and burn,2,testing
S1,trigrams,HYBRID_SEMANTIC,truth.verification,documented formats exit,2,documented
S1,trigrams,HYBRID_SEMANTIC,truth.verification,rollback audit trail,2,audit
S1,trigrams,HYBRID_SEMANTIC,truth.verification,audit trail degraded,2,audit
S1,trigrams,HYBRID_SEMANTIC,truth.verification,documented formats priced,2,documented
S1,trigrams,HYBRID_SEMANTIC,truth.verification,and acceptance tested,2,tested
S1,trigrams,HYBRID_SEMANTIC,truth.verification,acceptance tested time,2,tested
S1,trigrams,CONTROL,truth.uncertainty_marking,week review uncertain,2,uncertain
S1,trigrams,CONTROL,truth.uncertainty_marking,review uncertain outcome,2,uncertain
S1,trigrams,AC15P,truth.uncertainty_marking,novagrid gating uncertainty,2,uncertainty
S1,trigrams,HYBRID_3_5,truth.uncertainty_marking,the most uncertain,2,uncertain
S1,trigrams,HYBRID_SEMANTIC,truth.fact_vs_interpretation,facts you provided,2,facts
S1,trigrams,HYBRID_SEMANTIC,truth.fact_vs_interpretation,given your facts,2,facts
S1,trigrams,CONTROL,practical_considerations_and_execution.action_and_execution,as built documentation,3,built
S1,trigrams,CONTROL,practical_considerations_and_execution.action_and_execution,a staged rollout,3,rollout|staged
S1,trigrams,CONTROL,practical_considerations_and_execution.action_and_execution,staged rollout plan,3,plan|rollout|staged
S1,trigrams,CONTROL,practical_considerations_and_execution.action_and_execution,delay start assumption,2,start
S1,trigrams,CONTROL,practical_considerations_and_execution.action_and_execution,stated rollout months,2,rollout
S1,trigrams,CONTROL,practical_considerations_and_execution.action_and_execution,rollout plan with,2,plan|rollout
S1,trigrams,CONTROL,practical_considerations_and_execution.action_and_execution,plan with early,2,early|plan
S1,trigrams,AC15,practical_considerations_and_execution.action_and_execution,a phased start,2,phas|phased|start
S1,trigrams,AC15,practical_considerations_and_execution.action_and_execution,phased start and,2,phas|phased|start
