ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy,expression_groups,expression_first_class,expression_group_count,expression_first_class_count,layer_a_count,layer_b_count,layer_a_groups,layer_b_groups,matched_expression_terms,unclassified
shielding prototype validated evt,2,AC15,S3,quadgrams,shielding prototype validated evt,4,imagination_and_possibility,1,prototype,shielding,1,0.25,False,imagination_and_possibility|truth,imagination_and_possibility.exploration_within_bounds|imagination_and_possibility.path_toward_feasibility|truth.verification,2,3,2,0,imagination_and_possibility|truth,,prototype|validat|validated,False
prototype validated evt dvt,2,AC15,S3,quadgrams,prototype validated evt dvt,4,imagination_and_possibility,1,prototype,,0,0.0,False,imagination_and_possibility|truth,imagination_and_possibility.exploration_within_bounds|imagination_and_possibility.path_toward_feasibility|truth.verification,2,3,2,0,imagination_and_possibility|truth,,prototype|validat|validated,False
ve confirmed the chief,2,AC15P,S3,quadgrams,confirmed chief,2,truth_and_fact,1,confirmed,,0,0.0,False,truth,truth.verification,1,1,1,0,truth,,confirm|confirmed,False
confirmed the chief architect,2,AC15P,S3,quadgrams,confirmed chief architect,3,truth_and_fact,1,confirmed,chief architect,1,0.6666666666666666,False,truth,truth.verification,1,1,1,0,truth,,confirm|confirmed,False
a simple decision test,2,AC15P,S3,quadgrams,simple decision test,3,,0,,,0,0.0,False,truth,truth.verification,1,1,1,0,truth,,test,False
sanity check whether the,2,AC15P,S3,quadgrams,sanity check whether,3,,0,,,0,0.0,False,conditions|truth,conditions|truth.verification,2,2,1,1,truth,conditions,check|sanity check|whether,False
sanity check whether it,2,CONTROL,S3,quadgrams,sanity check whether,3,,0,,,0,0.0,False,conditions|truth,conditions|truth.verification,2,2,1,1,truth,conditions,check|sanity check|whether,False
check whether it s,2,CONTROL,S3,quadgrams,check whether,2,,0,,,0,0.0,False,conditions|truth,conditions|truth.verification,2,2,1,1,truth,conditions,check|whether,False
design freeze build validation,2,HYBRID_3_5,S3,quadgrams,design freeze build validation,4,,0,,,0,0.0,False,practical_considerations_and_execution|truth,practical_considerations_and_execution.action_and_execution|truth.verification,2,2,2,0,practical_considerations_and_execution|truth,,build|validat|validation,False
field re test with,2,HYBRID_3_5,S3,quadgrams,field test,2,,0,,,0,0.0,False,truth,truth.verification,1,1,1,0,truth,,test,False
re test with weekly,2,HYBRID_3_5,S3,quadgrams,test weekly,2,,0,,,0,0.0,False,truth,truth.verification,1,1,1,0,truth,,test,False
test with weekly gates,2,HYBRID_3_5,S3,quadgrams,test weekly gates,3,,0,,,0,0.0,False,truth,truth.verification,1,1,1,0,truth,,test,False
