ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy,expression_groups,expression_first_class,expression_group_count,expression_first_class_count,layer_a_count,layer_b_count,layer_a_groups,layer_b_groups,matched_expression_terms,unclassified
acceptance testing that,3,AC15,S1,trigrams,acceptance testing,2,,0,,,0,0.0,False,truth,truth.verification,1,1,1,0,truth,,testing,False
long run evidence,2,AC15,S1,trigrams,long run evidence,3,truth_and_fact,1,evidence,,0,0.0,False,truth,truth.verification,1,1,1,0,truth,,evidence,False
and council proof,2,AC15,S1,trigrams,council proof,2,truth_and_fact,1,proof,,0,0.0,False,truth,truth.verification,1,1,1,0,truth,,proof,False
documented formats transition,2,AC15,S1,trigrams,documented formats transition,3,temporal_dynamics,1,transition,,0,0.0,False,temporal_projection|truth,temporal_projection.change_and_rate|truth.verification,2,2,2,0,temporal_projection|truth,,documented|transit|transition,False
testing that includes,2,AC15,S1,trigrams,testing includes,2,,0,,,0,0.0,False,truth,truth.verification,1,1,1,0,truth,,testing,False
failover test as,2,AC15,S1,trigrams,failover test,2,,0,,failover,1,0.5,False,truth,truth.verification,1,1,1,0,truth,,test,False
procurement legal confirm,2,AC15P,S1,trigrams,procurement legal confirm,3,truth_and_fact,1,confirm,procurement,1,0.3333333333333333,False,truth,truth.verification,1,1,1,0,truth,,confirm,False
management and audit,2,AC15P,S1,trigrams,management audit,2,,0,,,0,0.0,False,truth,truth.verification,1,1,1,0,truth,,audit,False
full export documented,2,AC15P,S1,trigrams,full export documented,3,,0,,,0,0.0,False,truth,truth.verification,1,1,1,0,truth,,documented,False
plans logs documented,2,AC15P,S1,trigrams,plans logs documented,3,,0,,,0,0.0,False,practical_considerations_and_execution|truth,practical_considerations_and_execution.action_and_execution|truth.verification,2,2,2,0,practical_considerations_and_execution|truth,,documented|plans,False
logs documented interfaces,2,AC15P,S1,trigrams,logs documented interfaces,3,,0,,,0,0.0,False,truth,truth.verification,1,1,1,0,truth,,documented,False
export test as,3,CONTROL,S1,trigrams,export test,2,,0,,,0,0.0,False,truth,truth.verification,1,1,1,0,truth,,test,False
models multi source,2,HYBRID_3_5,S1,trigrams,models multi source,3,truth_and_fact,1,source,,0,0.0,False,truth,truth.verification,1,1,1,0,truth,,source,False
multi source availability,2,HYBRID_3_5,S1,trigrams,multi source availability,3,truth_and_fact,1,source,,0,0.0,False,truth,truth.verification,1,1,1,0,truth,,source,False
long horizon evidence,2,HYBRID_3_5,S1,trigrams,long horizon evidence,3,truth_and_fact,1,evidence,,0,0.0,False,temporal_projection|truth,temporal_projection.time_horizons|truth.verification,2,2,2,0,temporal_projection|truth,,evidence|horizon,False
single source pricing,2,HYBRID_3_5,S1,trigrams,single source pricing,3,truth_and_fact,1,source,,0,0.0,False,truth,truth.verification,1,1,1,0,truth,,source,False
source procurement city,2,HYBRID_3_5,S1,trigrams,source procurement city,3,truth_and_fact,1,source,procurement,1,0.3333333333333333,False,truth,truth.verification,1,1,1,0,truth,,source,False
escalation stress test,2,HYBRID_3_5,S1,trigrams,escalation stress test,3,,0,,,0,0.0,False,truth,truth.verification,1,1,1,0,truth,,test,False
