scenario,level,system,expression_group,expression_group_layer,expression_subgroup,ngram,count,matched_constraints,constraint_hit_count,scenario_heavy
S1,trigrams,AC15,surfacing,cross_cutting,confrontation,make us wrong,6,,0,False
S1,trigrams,AC15,surfacing,cross_cutting,confrontation,contract doesn t,2,,0,False
S1,trigrams,AC15,surfacing,cross_cutting,confrontation,doesn t allow,2,,0,False
S1,trigrams,AC15,surfacing,cross_cutting,confrontation,permissible and doesn,2,,0,False
S1,trigrams,AC15,surfacing,cross_cutting,confrontation,the contract doesn,2,,0,False
S1,trigrams,AC15,temporal_projection,constraint_aligned,time_horizons,near term opex,5,temporal_dynamics,1,False
S1,trigrams,AC15,temporal_projection,constraint_aligned,time_horizons,better near term,2,temporal_dynamics,1,False
S1,trigrams,AC15,temporal_projection,constraint_aligned,time_horizons,long term dependency,2,practicality_and_feasibility;temporal_dynamics,2,False
S1,trigrams,AC15,temporal_projection,constraint_aligned,time_horizons,month support horizon,2,,0,False
S1,trigrams,AC15,temporal_projection,constraint_aligned,time_horizons,predictable near term,2,temporal_dynamics,1,False
S1,trigrams,AC15,temporal_projection,constraint_aligned,time_horizons,reduces near term,2,temporal_dynamics,1,False
S1,trigrams,AC15,temporal_projection,constraint_aligned,time_horizons,support horizon with,2,,0,False
S1,trigrams,AC15,temporal_projection,constraint_aligned,time_horizons,window a treat,2,temporal_dynamics,1,False
S1,trigrams,AC15,temporal_projection,constraint_aligned,change_and_rate,config portability transition,4,temporal_dynamics,1,False
S1,trigrams,AC15,temporal_projection,constraint_aligned,change_and_rate,a phased notice,2,temporal_dynamics,1,False
S1,trigrams,AC15,temporal_projection,constraint_aligned,change_and_rate,a phased start,2,temporal_dynamics,1,False
S1,trigrams,AC15,temporal_projection,constraint_aligned,change_and_rate,change control staged,2,,0,False
S1,trigrams,AC15,temporal_projection,constraint_aligned,change_and_rate,documented formats transition,2,temporal_dynamics,1,False
S1,trigrams,AC15,temporal_projection,constraint_aligned,change_and_rate,phased notice to,2,temporal_dynamics,1,False
S1,trigrams,AC15,temporal_projection,constraint_aligned,change_and_rate,phased start and,2,temporal_dynamics,1,False
S1,trigrams,AC15,temporal_projection,constraint_aligned,change_and_rate,shifts pricing changes,2,,0,False
S1,trigrams,AC15,temporal_projection,constraint_aligned,change_and_rate,timelines transition assistance,2,temporal_dynamics,1,False
S1,trigrams,AC15,temporal_projection,constraint_aligned,change_and_rate,transition assistance defined,2,temporal_dynamics,1,False
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,timeline and required,3,practicality_and_feasibility;temporal_dynamics,1,False
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,central cloud dependency,2,practicality_and_feasibility,1,False
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,contingent on passing,2,,0,False
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,cost reduction vs,2,practicality_and_feasibility,1,False
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,cost to maintain,2,practicality_and_feasibility,1,False
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,costs blow up,2,,0,False
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,high switching cost,2,practicality_and_feasibility,1,False
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,high switching costs,2,,0,False
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,hybrid failover costs,2,,0,False
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,long term dependency,2,practicality_and_feasibility;temporal_dynamics,2,False
S1,trigrams,AC15,truth,constraint_aligned,verification,acceptance testing that,3,,0,False
S1,trigrams,AC15,truth,constraint_aligned,verification,and council proof,2,truth_and_fact,1,False
S1,trigrams,AC15,truth,constraint_aligned,verification,documented formats transition,2,temporal_dynamics,1,False
S1,trigrams,AC15,truth,constraint_aligned,verification,failover test as,2,,0,False
S1,trigrams,AC15,truth,constraint_aligned,verification,long run evidence,2,truth_and_fact,1,False
S1,trigrams,AC15,truth,constraint_aligned,verification,testing that includes,2,,0,False
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,action_and_execution,a phased start,2,temporal_dynamics,1,False
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,action_and_execution,before broad rollout,2,,0,False
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,action_and_execution,phased start and,2,temporal_dynamics,1,False
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,action_and_execution,plans configurations logs,2,,0,False
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,action_and_execution,running safe plans,2,,0,False
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,action_and_execution,slower rollout months,2,,0,False
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,action_and_execution,start and compress,2,,0,False
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,action_and_execution,timing plans configurations,2,,0,False
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,friction_and_blockers,external blockers civitas,2,practicality_and_feasibility,1,False
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,friction_and_blockers,fewest external blockers,2,practicality_and_feasibility,1,False
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,friction_and_blockers,supply chain fragility,2,,0,False
S1,trigrams,AC15,temporal_projection,constraint_aligned,robustness_and_resilience,supply chain fragility,2,,0,False
S1,trigrams,AC15,temporal_projection,constraint_aligned,robustness_and_resilience,to preserve leverage,2,,0,False
S1,trigrams,AC15,surfacing,cross_cutting,friction_exposed,external blockers civitas,2,practicality_and_feasibility,1,False
S1,trigrams,AC15,surfacing,cross_cutting,friction_exposed,fewest external blockers,2,practicality_and_feasibility,1,False
S1,trigrams,AC15,conditions,cross_cutting,main,contingent on passing,2,,0,False
S1,trigrams,AC15,warning,cross_cutting,main,costs blow up,2,,0,False
S1,trigrams,AC15,warning,cross_cutting,main,risk while keeping,2,practicality_and_feasibility,1,False
S1,trigrams,AC15,temporal_projection,constraint_aligned,past_present_future,venture backed trajectory,2,temporal_dynamics,1,False
S1,trigrams,AC15,practical_considerations_and_execution,constraint_aligned,constraints_and_tradeoffs,opex is bounded,2,,0,False
S1,trigrams,AC15,hedging,cross_cutting,multi_word_patterns,appears to best,2,,0,False
S1,trigrams,AC15,hedging,cross_cutting,single_word_markers,appears to best,2,,0,False
S1,trigrams,AC15,hedging,cross_cutting,single_word_markers,controllers typically mean,2,,0,False
S1,trigrams,AC15,hedging,cross_cutting,single_word_markers,likely stronger in,2,,0,False
S1,trigrams,AC15,hedging,cross_cutting,single_word_markers,standard controllers typically,2,,0,False
S1,trigrams,AC15P,hedging,cross_cutting,single_word_markers,may be underestimated,7,,0,False
S1,trigrams,AC15P,hedging,cross_cutting,single_word_markers,short novagrid may,2,,0,False
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,failure council budget,3,practicality_and_feasibility,1,False
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,schedule slip or,3,practicality_and_feasibility,1,False
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,total operating cost,3,practicality_and_feasibility,1,False
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,adjustment budget volatility,2,practicality_and_feasibility,1,False
S1,trigrams,AC15P,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions,and operating budgets,2,,0,False
